variant,cumulative_net_total_return,sharpe,max_drawdown,trade_count,commission_bps,tax_bps_sell,slippage_bps
base,2.9652796624027413,0.5660027769289406,-0.41474162966818906,110,1.5,20.0,5.0
2x,2.687449524208444,0.5348705780681344,-0.42058350129612654,110,3.0,40.0,10.0
3x,2.4285814010127074,0.5035685083516096,-0.42637855765402266,110,4.5,60.0,15.0
extra_slippage,2.795457664052093,0.5471930444315489,-0.4183374770698004,110,1.5,20.0,15.0
