execution_date,signal_date,종목코드,fnv_5,inv_5,combined_flow_5,signal
2018-01-30,2018-01-29,267250,0.157022604635183,0.29803666150182756,0.4550592661370106,True
2018-01-30,2018-01-29,010130,0.27058455655852787,0.134839028945727,0.4054235855042549,True
2018-01-30,2018-01-29,016360,0.0335615941028221,0.34765692951951593,0.38121852362233805,True
2018-01-30,2018-01-29,096770,0.1852811245551257,0.14168005770754086,0.3269611822626665,True
2018-01-30,2018-01-29,003490,0.08728367394401661,0.22260105290531657,0.30988472684933316,True
2018-01-30,2018-01-29,005880,0.06065244574730711,0.24827323003750942,0.30892567578481656,True
2018-01-30,2018-01-29,004990,0.1175975962232484,0.19028207982130502,0.3078796760445534,True
2018-01-30,2018-01-29,034220,0.17723620698314643,0.09547366990703426,0.2727098768901807,True
2018-01-30,2018-01-29,017800,0.23864393537550047,0.03396432826458542,0.2726082636400859,True
2018-01-30,2018-01-29,028260,0.05286792225566245,0.211003890289525,0.26387181254518743,True
2018-01-30,2018-01-29,034730,0.11131961346774477,0.15217325166400336,0.26349286513174813,True
2018-01-30,2018-01-29,028670,0.03839677737232436,0.22040466905750314,0.2588014464298275,True
2018-01-30,2018-01-29,010950,0.009688275451831242,0.24135541766076227,0.2510436931125935,True
2018-01-30,2018-01-29,207940,0.1885408641509397,0.0550501337928785,0.24359099794381822,True
2018-01-30,2018-01-29,023530,0.14422388020853463,0.09415934082717752,0.23838322103571213,True
2018-01-30,2018-01-29,009830,0.0865409009414973,0.1482982994154513,0.2348392003569486,True
2018-01-30,2018-01-29,010140,0.10224658776875648,0.11903528503776901,0.22128187280652548,True
2018-01-30,2018-01-29,000720,0.06379455308963658,0.14896081382162252,0.2127553669112591,True
2018-01-30,2018-01-29,036570,0.12466798112715652,0.08501989955440763,0.20968788068156416,True
2018-01-30,2018-01-29,051910,0.08556113276359016,0.09009278580981309,0.17565391857340326,True
2018-01-30,2018-01-29,028050,0.1245875311151763,0.03820054199046983,0.1627880731056461,True
2018-01-30,2018-01-29,006380,0.07426501868737675,0.08430421350320637,0.1585692321905831,True
2018-01-30,2018-01-29,009150,0.02944991562605029,0.12762114451841733,0.15707106014446762,True
2018-01-30,2018-01-29,012510,0.10484743694896687,0.023181153478977208,0.12802859042794407,True
2018-01-30,2018-01-29,005930,0.026138790790201444,0.07897577033384948,0.10511456112405092,True
2018-01-30,2018-01-29,006360,0.07624787732296284,0.02870078596150478,0.10494866328446763,True
2018-01-30,2018-01-29,093370,0.02362791408213646,0.08077585665103579,0.10440377073317224,True
2018-01-30,2018-01-29,128940,0.07478056996075695,0.016596215089436334,0.09137678505019328,True
2018-01-30,2018-01-29,000660,0.07180144202660066,0.01709175175772395,0.0888931937843246,True
2018-01-30,2018-01-29,047810,0.037244013054708695,0.04967726447320881,0.0869212775279175,True
2018-01-30,2018-01-29,020560,0.027310453709315133,0.058833778540506386,0.08614423224982153,True
2018-01-30,2018-01-29,001060,0.07059440761001455,0.008236704986882297,0.07883111259689685,True
2018-01-30,2018-01-29,004870,0.05390940839905492,0.015045245750616639,0.06895465414967156,True
2018-01-30,2018-01-29,032830,0.013424494926188125,0.03829391594244527,0.0517184108686334,True
2018-01-30,2018-01-29,042670,0.025129816214808216,0.022331962523418396,0.04746177873822661,True
2018-01-30,2018-01-29,020150,0.013773621692465625,0.03312488645041723,0.04689850814288286,True
2018-01-30,2018-01-29,018880,0.023329608788898705,0.009477699899359126,0.032807308688257826,True
2018-01-30,2018-01-29,009420,0.012132826444979018,0.002376075544838991,0.014508901989818008,True
2018-01-31,2018-01-30,010130,0.3259561665973558,0.13522782576751075,0.46118399236486657,True
2018-01-31,2018-01-30,003490,0.08191869206532663,0.21598559352103894,0.29790428558636556,True
2018-01-31,2018-01-30,267250,0.059153392361991776,0.22089068682045743,0.28004407918244917,True
