period,start,end,v1_net_total_return,v1_cost_0_total_return,v1_annualized_return,v1_cost_0_annualized_return,v1_max_drawdown,v1_cost_0_max_drawdown,v1_trade_count,v1_cost_0_trade_count
2010-2017,2010-01-04,2017-12-31,-0.25861145537129915,-0.2533157387450763,-0.04265104921246843,-0.04165797376716007,-0.2736628061659687,-0.26904200296231995,10,10
2018-2026,2018-01-01,2026-05-04,-0.29667209156902596,-0.24901298714405284,-0.042440736984633354,-0.034672875954272375,-0.6154579006725527,-0.6099524585793605,99,99
