signal_date,mode,n_stocks,rank_ic,rank_ic_mean_quarterly,rank_ic_std_quarterly,rank_ic_t_stat,n_quarters
2017-03-31 00:00:00,universe,87,-0.008875847488517897,,,,
2017-06-30 00:00:00,universe,87,-0.16758401982940874,,,,
2017-12-28 00:00:00,universe,88,-0.27366066711281745,,,,
2019-06-28 00:00:00,universe,80,0.03741209563994375,,,,
2019-09-30 00:00:00,universe,91,-0.004507087115782768,,,,
2019-12-30 00:00:00,universe,81,-0.030849141824751576,,,,
2020-03-31 00:00:00,universe,93,0.01702426069051953,,,,
2020-06-30 00:00:00,universe,84,0.06998076338969322,,,,
2020-09-29 00:00:00,universe,85,-0.0038694547586476456,,,,
2020-12-30 00:00:00,universe,85,0.07318741450068399,,,,
2021-03-31 00:00:00,universe,81,0.25094850948509484,,,,
2021-06-30 00:00:00,universe,84,0.07767540751240255,,,,
2021-09-30 00:00:00,universe,83,-0.0754166491750976,,,,
2021-12-30 00:00:00,universe,87,-0.1043048771597288,,,,
2023-09-27 00:00:00,universe,90,-0.08149977363460509,,,,
2023-12-28 00:00:00,universe,85,0.07041235098690639,,,,
2024-03-29 00:00:00,universe,87,-0.090508128599548,,,,
2024-09-30 00:00:00,universe,92,-0.16244624940277116,,,,
2025-06-30 00:00:00,universe,95,0.050293952967525195,,,,
2025-09-30 00:00:00,universe,86,0.03784140761356668,,,,
2025-12-30 00:00:00,universe,92,-0.015057873402894441,,,,
2026-03-31 00:00:00,universe,92,0.21594254273076152,,,,
ALL,universe,1915,-0.013921511559011132,-0.0053573210903397036,0.11910936776199928,-0.21096630554511817,22.0
