year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,-0.25861145537129915,0.31675953872996554,0.0,0.0,-0.25861145537129915
2018,-0.07955109130201699,-0.08401784948302582,0.0,0.0,-0.07955109130201699
2019,-0.11492806118622978,0.17019485930094325,0.0,0.0277493483052602,-0.14267740949149
2020,0.20939653758245225,0.5251287429311848,0.0,0.2461360848272729,-0.03673954724482065
2021,-0.264824933643805,0.13170240063376726,0.0,-0.035316520549102,-0.229508413094703
2022,-0.0978436172888949,-0.18442405395793493,0.0,0.0,-0.0978436172888949
2023,-0.039332547946280494,0.3279894204214897,0.0,-0.0177293971971159,-0.021603150749164593
2024,-0.16244959045492102,0.034981455283805474,0.0,0.0422472179791628,-0.20469680843408383
2025,0.13790731973047454,1.047004780803555,0.0,0.7666554035490463,-0.6287480838185717
2026,0.13714172337930441,0.7344109727369705,0.0,0.0,0.13714172337930441
