regime,quarter_count,mean_gold_quarter_return,compounded_gold_return,positive_quarter_rate
all_off_gold,38,0.007263858696635095,0.1538550016004323,0.42105263157894735
calendar_2022,4,0.0020285158643895407,-0.004230769230769371,0.5
gold_down,18,-0.060794088429142676,-0.6861679813831517,0.0
gold_up,20,0.0685160111098351,2.676664371869437,0.8
