date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_gold_sleeve_net_value,gold_sleeve_factor
2011-08-26,1.1229976008280302,0.0,1.1229976008280302,1.1229976008280302,0,1.0,1.1229976008280302,1.1229976008280302
2011-08-29,1.1243668571932814,0.0,1.1243668571932814,1.1243668571932814,0,1.0,1.1243668571932814,1.1243668571932814
2011-08-30,1.1257377830750057,0.0,1.1257377830750057,1.1257377830750057,0,1.0,1.1257377830750057,1.1257377830750057
2011-08-31,1.1271103805088227,0.0,1.1271103805088227,1.1271103805088227,0,1.0,1.1271103805088227,1.1271103805088227
2011-09-01,1.1284846515328342,0.0,1.1284846515328342,1.1284846515328342,0,1.0,1.1284846515328342,1.1284846515328342
2011-09-02,1.1298605981876269,0.0,1.1298605981876269,1.1298605981876269,0,1.0,1.1298605981876269,1.1298605981876269
2011-09-05,1.1312382225162756,0.0,1.1312382225162756,1.1312382225162756,0,1.0,1.1312382225162756,1.1312382225162756
2011-09-06,1.1326175265643463,0.0,1.1326175265643463,1.1326175265643463,0,1.0,1.1326175265643463,1.1326175265643463
2011-09-07,1.133998512379899,0.0,1.133998512379899,1.133998512379899,0,1.0,1.133998512379899,1.133998512379899
2011-09-08,1.135381182013491,0.0,1.135381182013491,1.135381182013491,0,1.0,1.135381182013491,1.135381182013491
2011-09-09,1.1367655375181795,0.0,1.1367655375181795,1.1367655375181795,0,1.0,1.1367655375181795,1.1367655375181795
2011-09-14,1.1381515809495255,0.0,1.1381515809495255,1.1381515809495255,0,1.0,1.1381515809495255,1.1381515809495255
2011-09-15,1.1395393143655959,0.0,1.1395393143655959,1.1395393143655959,0,1.0,1.1395393143655959,1.1395393143655959
2011-09-16,1.140928739826967,0.0,1.140928739826967,1.140928739826967,0,1.0,1.140928739826967,1.140928739826967
2011-09-19,1.1423198593967276,0.0,1.1423198593967276,1.1423198593967276,0,1.0,1.1423198593967276,1.1423198593967276
2011-09-20,1.1437126751404822,0.0,1.1437126751404822,1.1437126751404822,0,1.0,1.1437126751404822,1.1437126751404822
2011-09-21,1.1451071891263536,0.0,1.1451071891263536,1.1451071891263536,0,1.0,1.1451071891263536,1.1451071891263536
2011-09-22,1.1465034034249861,0.0,1.1465034034249861,1.1465034034249861,0,1.0,1.1465034034249861,1.1465034034249861
2011-09-23,1.1479013201095492,0.0,1.1479013201095492,1.1479013201095492,0,1.0,1.1479013201095492,1.1479013201095492
2011-09-26,1.1493009412557398,0.0,1.1493009412557398,1.1493009412557398,0,1.0,1.1493009412557398,1.1493009412557398
2011-09-27,1.1507022689417858,0.0,1.1507022689417858,1.1507022689417858,0,1.0,1.1507022689417858,1.1507022689417858
2011-09-28,1.1521053052484491,0.0,1.1521053052484491,1.1521053052484491,0,1.0,1.1521053052484491,1.1521053052484491
2011-09-29,1.1535100522590287,0.0,1.1535100522590287,1.1535100522590287,0,1.0,1.1535100522590287,1.1535100522590287
2011-09-30,1.1549165120593634,0.0,1.1549165120593634,1.1549165120593634,0,1.0,1.1549165120593634,1.1549165120593634
2011-10-04,1.1540577146261277,0.0,1.1540577146261277,1.1540577146261277,0,1.0,1.1540577146261277,1.1540577146261277
