scenario,commission_bps,tax_bps_sell,slippage_bps,cumulative_net_total_return,sharpe,max_drawdown,trade_count,base_exact_e007_reproduction
base,1.5,20.0,5.0,2.3200922451001436,0.48218421304767917,-0.3968185249283369,110,True
2x,3.0,40.0,10.0,2.0842981130375198,0.4515389906736061,-0.4028142875610403,110,False
3x,4.5,60.0,15.0,1.8648281409169454,0.4207661719712188,-0.408762298650895,110,False
extra_slippage,1.5,20.0,15.0,2.172883963031972,0.46328759057992086,-0.4004858621248141,110,False
