signal_date,USDKRW_yoy,VIX_60d_avg,VIX_240d_avg,DXY_yoy,favorable_USDKRW,favorable_VIX,favorable_DXY,regime_score,regime_on
2010-01-29,,,,,False,False,False,,False
2010-02-26,,,,,False,False,False,,False
2010-03-31,,20.186333333333334,,,False,False,False,,False
2010-04-30,,18.931666666666665,,,False,False,False,,False
2010-05-31,,21.730666666666664,,,False,False,False,,False
2010-06-30,,25.916999999999998,,,False,False,False,,False
2010-07-30,,29.115833333333335,,,False,False,False,,False
2010-08-31,,26.271500000000003,,,False,False,False,,False
2010-09-30,,24.209,,,False,False,False,,False
2010-10-29,,22.614333333333335,,,False,False,False,,False
2010-11-30,,20.830000000000002,,,False,False,False,,False
2010-12-30,,19.131000000000004,22.61345833333333,,False,False,False,,False
2011-01-31,-0.03417623198412023,18.13016666666667,22.067,-0.03693406316511816,True,True,True,3,True
2011-02-28,-0.027941176470588247,17.473666666666663,21.941583333333334,-0.051213351010966246,True,True,True,3,True
2011-03-31,-0.03325991189427313,18.600833333333334,22.292625,-0.05825229246653496,True,True,True,3,True
2011-04-29,-0.03747747747747743,18.310333333333332,21.793375,-0.07216703217835962,True,True,True,3,True
2011-05-31,-0.11852487836788095,17.955500000000004,20.444666666666667,-0.10531557940854774,True,True,True,3,True
2011-06-30,-0.11352205179365671,17.4325,19.68429166666667,-0.09068681370484677,True,True,True,3,True
2011-07-29,-0.10825331020770768,18.324666666666666,19.240041666666666,-0.08459334695740839,True,True,True,3,True
2011-08-31,-0.10604150911688082,24.777499999999996,20.146583333333336,-0.08165958039714072,True,False,True,2,True
2011-09-30,0.030903535573985286,30.316166666666668,21.304166666666667,-0.001934842802220893,False,False,True,1,False
2011-10-31,-0.008868092691622143,34.768,22.406416666666665,-0.014395192855109595,True,False,True,2,True
2011-11-30,-0.005191972076788898,33.592166666666664,23.546249999999997,0.010945220181565185,True,False,False,1,False
2011-12-29,0.00399340220505251,29.512833333333333,24.252041666666667,0.01682451399925311,False,False,False,0,False
2012-01-31,0.006887298747763948,25.896833333333337,24.582958333333334,0.008423948176780494,False,False,False,0,False
2012-02-29,-0.007022222222222263,21.272499999999997,24.490291666666668,0.006451533373825757,True,True,False,2,True
2012-03-30,0.01726308217946415,18.274333333333335,24.225250000000003,0.027435343997789463,False,True,False,1,False
2012-04-30,0.04286637135474347,17.341833333333334,24.354125000000003,0.045418772120283224,False,True,False,1,False
2012-05-31,0.0903714655331731,18.241833333333332,24.645333333333333,0.07701338985915762,False,True,False,1,False
2012-06-29,0.05181805613161905,19.990499999999997,24.872708333333332,0.07450052227735782,False,True,False,1,False
2012-07-31,0.07389073634204268,19.940833333333334,24.11029166666667,0.08872435918436117,False,True,False,1,False
2012-08-31,0.05566165168382309,17.636666666666667,22.322208333333332,0.06372430235509352,False,True,False,1,False
2012-09-28,-0.051787695195835814,16.226166666666668,20.588250000000002,-0.001591885454655495,True,True,True,3,True
2012-10-31,-0.011183673469387645,15.745666666666667,19.299458333333334,0.02650014303702508,True,True,False,2,True
2012-11-30,-0.05068012286090395,16.143166666666666,18.074458333333332,-0.013923499134578576,True,True,True,3,True
2012-12-28,-0.06840731070496076,16.687833333333334,17.669541666666667,-0.01390435801935952,True,True,True,3,True
2013-01-31,-0.0294868362338242,15.674166666666666,17.153458333333333,0.005391819567636791,True,True,False,2,True
2013-02-28,-0.03986181238373643,14.7935,16.821166666666667,0.022015087448696402,True,True,False,2,True
2013-03-29,-0.019841409691629952,13.466833333333334,16.6055,0.01576591703597674,True,True,False,2,True
2013-04-30,-0.032906057945566336,13.639999999999999,16.204666666666665,0.009234126848669755,True,True,False,2,True
2013-05-31,-0.04697046413502115,13.428666666666667,15.3665,-0.004059584638821834,True,True,True,3,True
2013-06-28,-0.018740597464001696,14.817166666666669,15.261041666666666,0.0034326904137009784,True,True,False,2,True
