variant,stress_window,stress_label,measurement_type,total_return,baseline_total_return,delta_return_pp,daily_max_drawdown,baseline_daily_max_drawdown,delta_mdd_pp,return_improved,mdd_improved,return_worsened,mdd_worsened,proxy_excluded_sleeves
N002-B,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.2529869899091284,0.2798274908556464,-2.684050094651802,-0.1000046690970211,-0.1139424568406335,1.3937787743612402,False,True,True,False,H001
N002-B,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0178839121753932,-0.0338014808439223,1.59175686685291,-0.2753777063587848,-0.3126571229831321,3.7279416624347306,True,True,False,False,H001
N002-B,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.0813239565343848,-0.0903787945228757,0.9054837988490856,-0.1807558017636008,-0.1997684591470635,1.9012657383462668,True,True,False,False,
N002-B,rate_shock_2022,2022 rate shock,exact,-0.163887588698808,-0.1836134839585798,1.9725895259771755,-0.189782124469764,-0.210901177900133,2.1119053430368933,True,True,False,False,
N002-C,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.3104400802738474,0.2798274908556464,3.0612589418201,-0.1504578719562337,-0.1139424568406335,-3.651541511560022,True,False,False,True,H001;SHY
N002-C,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0743011905533533,-0.0338014808439223,-4.049970970943108,-0.3896175246451084,-0.3126571229831321,-7.696040166197637,False,False,True,True,H001;SHY
N002-C,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.0980160483900361,-0.0903787945228757,-0.7637253867160493,-0.2069111057643703,-0.1997684591470635,-0.7142646617306819,False,False,True,True,
N002-C,rate_shock_2022,2022 rate shock,exact,-0.168631327932173,-0.1836134839585798,1.4982156026406734,-0.1949955177720551,-0.210901177900133,1.590566012807784,True,True,False,False,
N003-A,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.2812361575716537,0.2798274908556464,0.1408666716007367,-0.1074938598594549,-0.1139424568406335,0.6448596981178584,True,True,False,False,H001
N003-A,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0384481740194332,-0.0338014808439223,-0.4646693175510932,-0.294467116195299,-0.3126571229831321,1.8190006787833115,False,True,True,False,H001
N003-A,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.0678154188581859,-0.0903787945228757,2.2563375664689715,-0.1962180151709432,-0.1997684591470635,0.3550443976120226,True,True,False,False,
N003-A,rate_shock_2022,2022 rate shock,exact,-0.2297095560565253,-0.1836134839585798,-4.609607209794553,-0.2545118545384532,-0.210901177900133,-4.361067663832027,False,False,True,True,
N003-B,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.3104400802738474,0.2798274908556464,3.0612589418201,-0.1504578719562337,-0.1139424568406335,-3.651541511560022,True,False,False,True,H001;SHY
N003-B,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0743011905533533,-0.0338014808439223,-4.049970970943108,-0.3896175246451084,-0.3126571229831321,-7.696040166197637,False,False,True,True,H001;SHY
N003-B,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.0980160483900361,-0.0903787945228757,-0.7637253867160493,-0.2069111057643703,-0.1997684591470635,-0.7142646617306819,False,False,True,True,
N003-B,rate_shock_2022,2022 rate shock,exact,-0.168631327932173,-0.1836134839585798,1.4982156026406734,-0.1949955177720551,-0.210901177900133,1.590566012807784,True,True,False,False,
N003-C,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.2997476382085411,0.2798274908556464,1.9920147352894717,-0.1341309832355853,-0.1139424568406335,-2.018852639495186,True,False,False,True,H001;SHY
N003-C,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0586767489643007,-0.0338014808439223,-2.487526812037845,-0.3532544330082169,-0.3126571229831321,-4.059731002508482,False,False,True,True,H001;SHY
N003-C,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.0878385970108789,-0.0903787945228757,0.2540197511996772,-0.1980209474525824,-0.1997684591470635,0.1747511694481035,True,True,False,False,
N003-C,rate_shock_2022,2022 rate shock,exact,-0.1893283832515532,-0.1836134839585798,-0.5714899292973419,-0.2151671410207772,-0.210901177900133,-0.4265963120644284,False,False,True,True,
N004-A,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.2798274908556475,0.2798274908556464,1.1102230246251565e-13,-0.1139424568406333,-0.1139424568406335,1.9428902930940243e-14,False,False,False,False,H001;DBC
N004-A,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0338014808439228,-0.0338014808439223,-5.689893001203927e-14,-0.3126571229831317,-0.3126571229831321,3.3306690738754696e-14,False,False,False,False,H001;DBC
N004-A,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.095812657146452,-0.0903787945228757,-0.5433862623576341,-0.2018996612998956,-0.1997684591470635,-0.2131202152832162,False,False,True,True,
N004-A,rate_shock_2022,2022 rate shock,exact,-0.1657245121323589,-0.1836134839585798,1.7888971826220843,-0.191568625120834,-0.210901177900133,1.9332552779298933,True,True,False,False,
N004-B,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.2798274908556475,0.2798274908556464,1.1102230246251565e-13,-0.1139424568406333,-0.1139424568406335,1.9428902930940243e-14,False,False,False,False,H001;UUP
N004-B,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0338014808439228,-0.0338014808439223,-5.689893001203927e-14,-0.3126571229831317,-0.3126571229831321,3.3306690738754696e-14,False,False,False,False,H001;UUP
N004-B,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.0851074298165464,-0.0903787945228757,0.5271364706329301,-0.1879072117328911,-0.1997684591470635,1.1861247414172356,True,True,False,False,
N004-B,rate_shock_2022,2022 rate shock,exact,-0.1705256677836281,-0.1836134839585798,1.3087816174951694,-0.1937433896896024,-0.210901177900133,1.7157788210530516,True,True,False,False,
N004-C,dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,proxy_rescaled_missing_sleeves,0.2798274908556486,0.2798274908556464,2.220446049250313e-13,-0.113942456840633,-0.1139424568406335,4.1633363423443377e-14,False,False,False,False,H001;DBC;UUP
N004-C,gfc_proxy_2008_2009,GFC proxy 2008-2009,proxy_rescaled_missing_sleeves,-0.0338014808439209,-0.0338014808439223,1.3183898417423734e-13,-0.3126571229831311,-0.3126571229831321,9.992007221626409e-14,False,False,False,False,H001;DBC;UUP
N004-C,covid_2020_02_2020_03,COVID 2020-02~2020-03,exact,-0.0905103770338199,-0.0903787945228757,-0.0131582510944222,-0.1902045577218222,-0.1997684591470635,0.95639014252413,False,True,True,False,
N004-C,rate_shock_2022,2022 rate shock,exact,-0.1524629983707072,-0.1836134839585798,3.115048558787259,-0.1741055111800266,-0.210901177900133,3.67956667201064,True,True,False,False,
