overall_rank,variant,return_score_pp,mdd_score_pp,stress_count,return_improved_count,mdd_improved_count,return_worsened_count,mdd_worsened_count,balanced_score_pp
1,N002-B,0.4464450242568423,2.283722879544783,4,3,4,1,0,1.3650839519008127
2,N001-B,1.5542264585816206,1.494455774594846,4,3,3,0,0,1.5243411165882332
3,N004-C,0.7754725769232976,1.158989203633728,4,1,2,1,0,0.9672308902785127
4,N001-A,0.7805559508396125,0.7939510336398691,4,3,3,0,0,0.7872534922397407
5,N004-B,0.4589795220320384,0.725475890617585,4,2,2,0,0,0.5922277063248117
6,N004-A,0.3113777300661261,0.43003376566168244,4,1,1,1,1,0.3707057478639043
7,N003-A,-0.6692680723189844,-0.3855407223297086,4,2,3,2,1,-0.5274043973243465
8,N003-C,-0.20324556371150948,-1.5826071961549983,4,2,1,2,3,-0.8929263799332539
9,N002-C,-0.063555453299596,-2.617820081670139,4,2,1,2,3,-1.3406877674848676
10,N003-B,-0.063555453299596,-2.617820081670139,4,2,1,2,3,-1.3406877674848676
11,N002-A,-2.1002434218859576,-7.060155394834486,4,2,1,2,3,-4.5801994083602215
