stress_window,stress_label,rank,variant,delta_return_pp,delta_mdd_pp,total_return,daily_max_drawdown,measurement_type,proxy_excluded_sleeves
dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,1,N002-B,-2.684050094651802,1.3937787743612402,0.2529869899091284,-0.1000046690970211,proxy_rescaled_missing_sleeves,H001
dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,2,N003-A,0.1408666716007367,0.6448596981178584,0.2812361575716537,-0.1074938598594549,proxy_rescaled_missing_sleeves,H001
dot_com_proxy_2002_07_2003_12,dot-com proxy 2002-07~2003-12,3,N001-B,2.220446049250313e-13,4.1633363423443377e-14,0.2798274908556486,-0.113942456840633,proxy_rescaled_missing_sleeves,H001;GLD
gfc_proxy_2008_2009,GFC proxy 2008-2009,1,N002-B,1.59175686685291,3.7279416624347306,-0.0178839121753932,-0.2753777063587848,proxy_rescaled_missing_sleeves,H001
gfc_proxy_2008_2009,GFC proxy 2008-2009,2,N001-B,3.492310504321959,3.454799522616392,0.0011216241992972,-0.2781091277569681,proxy_rescaled_missing_sleeves,H001
gfc_proxy_2008_2009,GFC proxy 2008-2009,3,N003-A,-0.4646693175510932,1.8190006787833115,-0.0384481740194332,-0.294467116195299,proxy_rescaled_missing_sleeves,H001
covid_2020_02_2020_03,COVID 2020-02~2020-03,1,N002-B,0.9054837988490856,1.9012657383462668,-0.0813239565343848,-0.1807558017636008,exact,
covid_2020_02_2020_03,COVID 2020-02~2020-03,2,N001-B,0.8926346805275182,1.326928968174898,-0.0814524477176005,-0.1864991694653145,exact,
covid_2020_02_2020_03,COVID 2020-02~2020-03,3,N004-B,0.5271364706329301,1.1861247414172356,-0.0851074298165464,-0.1879072117328911,exact,
rate_shock_2022,2022 rate shock,1,N004-C,3.115048558787259,3.67956667201064,-0.1524629983707072,-0.1741055111800266,exact,
rate_shock_2022,2022 rate shock,2,N002-A,3.013641652895138,3.202917497678051,-0.1534770674296284,-0.1788720029233524,exact,
rate_shock_2022,2022 rate shock,3,N002-B,1.9725895259771755,2.1119053430368933,-0.163887588698808,-0.189782124469764,exact,
