portfolio,candidate,component,target_weight,return_contribution,component_total_return_krw,component_total_return_usd,fx_contribution_estimate
P07,A03_P07_QQQ50_H00130_IEF20,QQQ,0.5,5.354971826117534,21.568635153820107,16.563080720732085,2.502777216544011
P07,A03_P07_QQQ50_H00130_IEF20,SPY,0.0,0.0,10.210326413563722,7.72395988349558,0.0
P07,A03_P07_QQQ50_H00130_IEF20,H001,0.3,2.7717621159284254,3.571886489071015,,0.0
P07,A03_P07_QQQ50_H00130_IEF20,IEF,0.2,0.40893221763861054,0.9537422445768404,0.5204168313740132,0.08666508264056545
P07,A03_P07_QQQ50_H00130_IEF20,rebalance_effect,,-3.5109658128621586,,,
P07,A03_P07_QQQ50_H00130_IEF20,total,1.0,8.535666159684567,8.535666159684567,,2.5894422991845767
