candidate,grid,weights,start_date,end_date,cumulative_net_total_return,cagr,daily_annualized_volatility,sharpe,sortino,max_drawdown,mdd_peak_date,mdd_trough_date,positive_years,n_observations
A01_QQQ70_H00130_IEF00,I003-A,QQQ70/H00130,2010-01-04,2026-05-18,13.950972935017951,0.17969887165137122,0.15258298051762686,1.131241740727347,1.505083523102959,-0.25242484554362465,2020-02-19,2020-03-16,16,4236
A02_QQQ60_H00130_IEF10,I003-A,QQQ60/H00130/IEF10,2010-01-04,2026-05-18,10.984489575586213,0.16386499819076672,0.1336773921728436,1.1724656476056492,1.5793165914907616,-0.21974132129868373,2021-12-28,2022-12-28,16,4236
A03_P07_QQQ50_H00130_IEF20,I003-A,QQQ50/H00130/IEF20,2010-01-04,2026-05-18,8.535666159684567,0.1477238282103388,0.11640442085489383,1.2109843607959934,1.6540430647730566,-0.19907004458487965,2021-12-28,2022-12-28,16,4236
A04_QQQ40_H00130_IEF30,I003-A,QQQ40/H00130/IEF30,2010-01-04,2026-05-18,6.530989215339898,0.13129223972705684,0.10145977476095402,1.2348456501191707,1.713893891786355,-0.17821908189016777,2021-12-28,2022-12-28,16,4236
B01_SPY46_QQQ34_H00120_IEF00,I003-B,SPY46/QQQ34/H00120,2010-01-04,2026-05-18,11.541644096239638,0.16710086948750003,0.1513033400345668,1.0704093831763142,1.3965041780289866,-0.2729484112037922,2020-02-19,2020-03-23,16,4236
B02_P08_SPY40_QQQ30_H00120_IEF10,I003-B,SPY40/QQQ30/H00120/IEF10,2010-01-04,2026-05-18,9.474559335796338,0.15432819931022057,0.1340734143848121,1.109627381557699,1.4686043118690006,-0.23428470583478467,2020-02-19,2020-03-23,16,4236
B03_SPY34_QQQ26_H00120_IEF20,I003-B,SPY34/QQQ26/H00120/IEF20,2010-01-04,2026-05-18,7.6929817048601645,0.1412539675829123,0.11831654716758179,1.1467769012022562,1.543248914853576,-0.19582418511329158,2020-02-20,2020-03-23,16,4236
B04_SPY29_QQQ21_H00120_IEF30,I003-B,SPY29/QQQ21/H00120/IEF30,2010-01-04,2026-05-18,6.11626972375764,0.12738381267998689,0.10425739723809546,1.1721425677902564,1.6051488268974647,-0.16407731360394917,2020-02-20,2020-03-19,16,4236
C01_P07_QQQ50_SPY00_H00130_IEF20,I003-C,QQQ50/H00130/IEF20,2010-01-04,2026-05-18,8.535666159684567,0.1477238282103388,0.11640442085489383,1.2109843607959934,1.6540430647730566,-0.19907004458487965,2021-12-28,2022-12-28,16,4236
C02_QQQ40_SPY10_H00130_IEF20,I003-C,QQQ40/SPY10/H00130/IEF20,2010-01-04,2026-05-18,7.8786199939682415,0.14272831335607372,0.1126957185414675,1.2093631932708928,1.6431136027892863,-0.19482724880446123,2020-02-19,2020-03-19,16,4236
C03_QQQ35_SPY15_H00130_IEF20,I003-C,QQQ35/SPY15/H00130/IEF20,2010-01-04,2026-05-18,7.5637346200066435,0.14020992406706845,0.11099289507715425,1.2068386987924762,1.6352224271442186,-0.19677737669994477,2020-02-19,2020-03-19,16,4236
C04_QQQ30_SPY20_H00130_IEF20,I003-C,QQQ30/SPY20/H00130/IEF20,2010-01-04,2026-05-18,7.2577290085448745,0.13767782917168758,0.1093976791008912,1.2030345798182764,1.6254618707372066,-0.19873909763604547,2020-02-19,2020-03-19,16,4236
C05_QQQ25_SPY25_H00130_IEF20,I003-C,QQQ25/SPY25/H00130/IEF20,2010-01-04,2026-05-18,6.960443170070549,0.13513206478293283,0.1079150175796869,1.1978500817196365,1.6133737560900796,-0.20079724957542489,2020-02-20,2020-03-19,16,4236
