date,cash,mtm_value,gross_value,net_value,n_positions
2020-05-21,-0.00037653800032586004,0.5904001847709539,0.590023646770628,0.590023646770628,5
2020-05-22,-0.00037653800032586004,0.5851171234334468,0.5847405854331209,0.5847405854331209,5
2020-05-25,-0.00037653800032586004,0.5991144826627995,0.5987379446624737,0.5987379446624737,5
2020-05-26,-0.00037653800032586004,0.639157907212724,0.6387813692123981,0.6387813692123981,5
2020-05-27,-0.00037653800032586004,0.6263749847252449,0.625998446724919,0.625998446724919,5
2020-05-28,-0.00037653800032586004,0.6404887744696779,0.640112236469352,0.640112236469352,5
2020-05-29,-0.00037653800032586004,0.6368515277933321,0.6364749897930062,0.6364749897930062,5
2020-06-01,-0.00037653800032586004,0.6472890377435963,0.6469124997432704,0.6469124997432704,5
2020-06-02,-0.00037653800032586004,0.6632953388122398,0.6629188008119139,0.6629188008119139,5
2020-06-03,-0.00037653800032586004,0.6556224357332285,0.6552458977329026,0.6552458977329026,5
2020-06-04,-0.00037653800032586004,0.6496620280230668,0.6492854900227409,0.6492854900227409,5
2020-06-05,-0.00037653800032586004,0.6556597458075426,0.6552832078072167,0.6552832078072167,5
2020-06-08,-0.00037653800032586004,0.6744602576479197,0.6740837196475938,0.6740837196475938,5
2020-06-09,-0.00037653800032586004,0.6929909473880077,0.6926144093876818,0.6926144093876818,5
2020-06-10,-0.00037653800032586004,0.7415041274038465,0.7411275894035206,0.7411275894035206,5
2020-06-11,-0.00037653800032586004,0.7882375638885752,0.7878610258882494,0.7878610258882494,5
2020-06-12,-0.0005079831523214229,0.8220334524622721,0.8215254693099507,0.8215254693099507,5
2020-06-15,-0.0005079831523214229,0.8041391866820559,0.8036312035297344,0.8036312035297344,5
2020-06-16,-0.0005079831523214229,0.8292474350397274,0.828739451887406,0.828739451887406,5
2020-06-17,-0.0005079831523214229,0.8229865988736239,0.8224786157213024,0.8224786157213024,5
2020-06-18,-0.0005079831523214229,0.8249413200861113,0.82443333693379,0.82443333693379,5
2020-06-19,-0.0005079831523214229,0.8195895392795203,0.8190815561271989,0.8190815561271989,5
2020-06-22,-0.0005079831523214229,0.8115714550836799,0.8110634719313585,0.8110634719313585,5
2020-06-23,-0.0005079831523214229,0.8265003489896785,0.8259923658373571,0.8259923658373571,5
2020-06-24,-0.0005079831523214229,0.8309895350326619,0.8304815518803406,0.8304815518803406,5
2020-06-25,-0.0005079831523214229,0.8086235710014744,0.808115587849153,0.808115587849153,5
2020-06-26,-0.0005079831523214229,0.8135567521116256,0.8130487689593042,0.8130487689593042,5
