run,period,year,trade_count,median_entry_mcap
A002_replay,is,2018,60,4208349412400.0
A002_replay,is,2019,60,5706666804000.0
A002_replay,is,2020,60,4612067970500.0
A002_replay,is,2021,65,8072186186400.0
A002_replay,is,2022,60,6493476991800.0
A002_replay,is,ALL,305,5940638550000.0
A002_replay,oos,2023,60,7686765484500.0
A002_replay,oos,2024,65,9745092714500.0
A002_replay,oos,2025,60,9299125207800.0
A002_replay,oos,2026,20,13348944031800.0
A002_replay,oos,ALL,205,9211397611500.0
headline,is,2018,60,2252673880750.0
headline,is,2019,60,3000716834250.0
headline,is,2020,60,2050905868000.0
headline,is,2021,65,1581249985000.0
headline,is,2022,60,1715118625065.0
headline,is,ALL,305,2054360000000.0
headline,oos,2023,60,2174499341565.0
headline,oos,2024,65,2247735779900.0
headline,oos,2025,60,2676682961900.0
headline,oos,2026,20,5686983457450.0
headline,oos,ALL,205,2424162904800.0
