variant,cumulative_net_total_return,sharpe,max_drawdown,off_carry_cumulative,cumulative_delta_vs_d013,sharpe_delta_vs_d013,mdd_delta_vs_d013,cumulative_pass,sharpe_pass,mdd_pass,pass
d013_baseline,2.254954008707709,0.4957409280006429,-0.3439921158258915,0.0,0.0,0.0,0.0,,,,
d013_kr_short_rate_sleeve,3.196910413379399,0.6078293422110106,-0.3439921158258914,0.2893916172552795,0.9419564046716902,0.11208841421036769,1.1102230246251565e-16,,,,
verdict,,,,0.2893916172552795,0.9419564046716902,0.11208841421036769,1.1102230246251565e-16,True,True,True,True
