variant_id,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final
XETF001_V01,2012-04-03,2026-05-18,3551,-0.4625291935871474,-0.04301352347250409,-0.05905361566989732,-0.7525120784400902,-0.05715991105640244,0.24342656932127066,0.535858393993614
XETF001_V02,2012-04-03,2026-05-18,3551,-0.44953618964104136,-0.04139343228935266,-0.01758428963188686,-0.795757218949463,-0.05201766481490314,0.27233828245194786,0.5488124189278818
XETF001_V03,2012-04-03,2026-05-18,3551,0.749747954677247,0.040412738646003366,0.3109364876870358,-0.3424778039975296,0.11800104466418174,0.1797221966819982,1.7444987108132153
XETF001_V04,2012-04-03,2026-05-18,3551,0.18793730856397461,0.012269854236586664,0.1617508408264078,-0.5688805416984486,0.02156841961926455,0.19999361062192428,1.1843734966382826
XETF001_V05,2012-04-03,2026-05-18,3551,0.5678421617369906,0.03235677858781627,0.28067987384044063,-0.2936168127015507,0.11020070100926269,0.15855492862204956,1.5631386352517798
XETF001_V06,2012-04-03,2026-05-18,3551,0.28341936799828304,0.017826683738680682,0.18885493648620924,-0.44816943682747545,0.03977666095410949,0.17906736741944543,1.2795691098942883
XETF001_V07,2012-04-03,2026-05-18,3551,0.4668241949057932,0.0274994983106287,0.2511941631038922,-0.3010975122295816,0.09133087187270021,0.15799757984385426,1.4624237223210759
XETF001_V08,2012-04-03,2026-05-18,3551,0.2516959605895177,0.016024360453566144,0.17893710957700454,-0.45276252989469146,0.03539241742750503,0.1786150062866397,1.2479408727077492
XETF001_V09,2012-04-03,2026-05-18,3551,1.196292886648155,0.05729428134468817,0.5243484230268065,-0.1920747192115455,0.29829163140197495,0.12030733796580433,2.1897040079882104
XETF001_V10,2012-04-03,2026-05-18,3551,0.4722889734342606,0.027770102453247736,0.2701444741889339,-0.3852563057085343,0.07208214905704155,0.13612182008869037,1.4678721065139577
XETF001_V11,2012-04-03,2026-05-18,3551,2.4243906071981427,0.09107621651088937,0.47966760188820834,-0.47862886807101956,0.19028567348632086,0.24472094962349103,3.414117435376548
XETF001_V12,2012-04-03,2026-05-18,3551,4.763513233943125,0.132051123376421,0.6316423733852786,-0.45124120291501313,0.29263977341468866,0.24429798074396827,5.746222694241296
XETF001_V13,2012-04-03,2026-05-18,3551,1.9559947055568858,0.07977090872976111,0.5085014255023731,-0.33657442526684234,0.2370082298039053,0.18508284686314785,2.947126721440215
XETF001_V14,2012-04-03,2026-05-18,3551,1.9073597214812898,0.07850317506249849,0.4783037133480963,-0.47312592468027426,0.1659244843020361,0.20078625815090861,2.898637642316846
XETF001_V15,2012-04-03,2026-05-18,3551,2.0536188585871864,0.08225815714152462,0.5580327781602411,-0.3811683094118583,0.2158053413948519,0.16711932743068733,3.044458002011425
XETF001_V16,2012-04-03,2026-05-18,3551,2.2153093004458855,0.08621957593459206,0.5662622088992956,-0.4676579617401524,0.184364606161669,0.17293454616646037,3.205663372544548
XETF001_V17,2012-04-03,2026-05-18,3551,2.040074339246935,0.08191752539279129,0.556221000727237,-0.38116830941185786,0.21491168958717977,0.1670864975455937,3.030954116229194
