variant_id,strategy_after_cost_sharpe,equal_weight_13_sharpe,sharpe_diff,strategy_cagr,equal_weight_13_cagr,cagr_diff
XETF001_V01,0.03762616255067513,0.8547975351800791,-0.817171372629404,-0.018813295224587856,0.09258419568961362,-0.11139749091420148
XETF001_V02,0.13369868585234215,0.8547975351800791,-0.7210988493277369,7.387034086669964e-05,0.09258419568961362,-0.09251032534874692
XETF001_V03,0.42917853046974536,0.8547975351800791,-0.4256190047103337,0.06159331432112647,0.09258419568961362,-0.030990881368487155
XETF001_V04,0.28509288018420736,0.8547975351800791,-0.5697046549958718,0.03733324257911952,0.09258419568961362,-0.055250953110494105
XETF001_V05,0.36298978114540303,0.8547975351800791,-0.491807754034676,0.04529102695947529,0.09258419568961362,-0.047293168730138335
XETF001_V06,0.22238268205218525,0.8547975351800791,-0.6324148531278938,0.023739918487255984,0.09258419568961362,-0.06884427720235764
XETF001_V07,0.3217426356351117,0.8547975351800791,-0.5330548995449673,0.03845698036661349,0.09258419568961362,-0.05412721532300013
XETF001_V08,0.21485610455957888,0.8547975351800791,-0.6399414306205002,0.022366073115437368,0.09258419568961362,-0.07021812257417626
XETF001_V09,0.6730445615412154,0.8547975351800791,-0.18175297363886367,0.07720065854787794,0.09258419568961362,-0.015383537141735681
XETF001_V10,0.3808727125108132,0.8547975351800791,-0.47392482266926583,0.04341366221846821,0.09258419568961362,-0.04917053347114542
XETF001_V11,0.5424734554497402,0.8547975351800791,-0.3123240797303388,0.10511137388694158,0.09258419568961362,0.01252717819732796
XETF001_V12,0.5201305163992502,0.8547975351800791,-0.33466701878082883,0.10084500469657742,0.09258419568961362,0.008260809006963798
XETF001_V13,0.46101498322637263,0.8547975351800791,-0.39378255195370643,0.07033219750707054,0.09258419568961362,-0.022251998182543087
XETF001_V14,0.33786398863201644,0.8547975351800791,-0.5169335465480627,0.04840991935883121,0.09258419568961362,-0.044174276330782414
XETF001_V15,0.5918530025448123,0.8547975351800791,-0.26294453263526674,0.08742424207321808,0.09258419568961362,-0.005159953616395541
XETF001_V16,0.4582455138553496,0.8547975351800791,-0.39655202132472944,0.06768924804283794,0.09258419568961362,-0.02489494764677569
XETF001_V17,0.5835186242122576,0.8547975351800791,-0.2712789109678214,0.08588668383788023,0.09258419568961362,-0.006697511851733395
XETF001_V18,0.45511445497897496,0.8547975351800791,-0.3996830802011041,0.067039596101381,0.09258419568961362,-0.02554459958823263
XETF001_V19,0.6940059887117318,0.8547975351800791,-0.16079154646834726,0.07925226530580787,0.09258419568961362,-0.013331930383805757
XETF001_V20,0.508819459020471,0.8547975351800791,-0.3459780761596081,0.059533148063094954,0.09258419568961362,-0.03305104762651867
XETF001_V21,0.4964274254231722,0.8547975351800791,-0.35837010975690686,0.09007809191493887,0.09258419568961362,-0.0025061037746747505
XETF001_V22,0.562449569300226,0.8547975351800791,-0.292347965879853,0.11001215332023584,0.09258419568961362,0.017427957630622215
XETF001_V23,0.4468254885953254,0.8547975351800791,-0.40797204658475367,0.06347938316729107,0.09258419568961362,-0.029104812522322554
XETF001_V24,0.26097910725039286,0.8547975351800791,-0.5938184279296862,0.031868014124112554,0.09258419568961362,-0.06071618156550107
XETF001_V25,0.5262710488685929,0.8547975351800791,-0.3285264863114862,0.07129483398261915,0.09258419568961362,-0.02128936170699447
XETF001_V26,0.308325184277752,0.8547975351800791,-0.546472350902327,0.038655169407945555,0.09258419568961362,-0.05392902628166807
XETF001_V27,0.5262710488685929,0.8547975351800791,-0.3285264863114862,0.07129483398261915,0.09258419568961362,-0.02128936170699447
XETF001_V28,0.308325184277752,0.8547975351800791,-0.546472350902327,0.038655169407945555,0.09258419568961362,-0.05392902628166807
XETF001_V29,0.6091587953389309,0.8547975351800791,-0.24563873984114815,0.06865734188618267,0.09258419568961362,-0.02392685380343096
XETF001_V30,0.637060454332455,0.8547975351800791,-0.2177370808476241,0.07164909585201973,0.09258419568961362,-0.020935099837593896
XETF001_V31,0.6410836003349851,0.8547975351800791,-0.21371393484509393,0.13056593635339442,0.09258419568961362,0.037981740663780794
XETF001_V32,0.6732643292177927,0.8547975351800791,-0.1815332059622864,0.13695597400039605,0.09258419568961362,0.04437177831078243
XETF001_V33,0.5721959461004026,0.8547975351800791,-0.2826015890796765,0.0878628864793718,0.09258419568961362,-0.004721309210241831
XETF001_V34,0.3787759858275154,0.8547975351800791,-0.47602154935256363,0.05441907391557166,0.09258419568961362,-0.038165121774041966
XETF001_V35,0.643958719808452,0.8547975351800791,-0.21083881537162708,0.09326705524534407,0.09258419568961362,0.0006828595557304418
XETF001_V36,0.41327561381256905,0.8547975351800791,-0.44152192136751,0.05754058576867438,0.09258419568961362,-0.035043609920939245
XETF001_V37,0.643958719808452,0.8547975351800791,-0.21083881537162708,0.09326705524534407,0.09258419568961362,0.0006828595557304418
XETF001_V38,0.41327561381256905,0.8547975351800791,-0.44152192136751,0.05754058576867438,0.09258419568961362,-0.035043609920939245
XETF001_V39,0.6407515511016477,0.8547975351800791,-0.21404598407843134,0.07322084459604428,0.09258419568961362,-0.019363351093569348
XETF001_V40,0.6998142410877649,0.8547975351800791,-0.15498329409231415,0.08153138952712058,0.09258419568961362,-0.011052806162493045
