variant_id,signal,portfolio,rebalance,cost_layer,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final,total_turnover,annualized_turnover,taxable_turnover,tax_paid_krw,avg_asset_exposure,top_asset,top_asset_contribution,qqq_exposure,qqq_contribution,random_percentile,vs_equal_weight_sharpe
XETF001_V01,ret_3m,top1_ew,monthly,gross,2011-01-04,2026-05-18,3865,0.45664734491632886,0.02477807241902985,0.22208531251017072,-0.6303620863715389,0.03930768197315966,0.2353750146744685,1.4566473449163289,223.0,14.511090326028862,111.0,0.0,0.8001509271237603,EWY,1.101615885552181,0.9187580853816301,-0.12776928664953452,27.700000000000003,-0.6327122226699083
XETF001_V01,ret_3m,top1_ew,monthly,after_cost,2011-01-04,2026-05-18,3865,-0.2531333113903572,-0.018813295224587856,0.03762616255067513,-0.7797045291312327,-0.02412874944506238,0.23604361969189355,0.7446260885438138,223.0,14.511090326028862,111.0,0.0,0.8001509271237603,EWY,1.101615885552181,0.9187580853816301,-0.12776928664953452,27.700000000000003,-0.817171372629404
XETF001_V01,ret_3m,top1_ew,monthly,after_tax,2011-01-04,2026-05-18,3865,-0.3335742619922112,-0.02606236659164629,0.006801420601509339,-0.7966388598669812,-0.032715409584712016,0.23669902457714054,0.6644264607937654,223.1156136300884,14.518613553962194,111.1156136300884,6939430.894949411,0.8001509271237603,EWY,1.101615885552181,0.9187580853816301,-0.12776928664953452,27.700000000000003,-0.8479961145785697
XETF001_V02,ret_3m,top1_ew,quarterly,gross,2011-01-04,2026-05-18,3865,0.40234693462869475,0.02224784035436267,0.21709408466045113,-0.6859758002406642,0.03243239826617404,0.26320150996347896,1.4023469346286948,113.0,7.353153393907002,56.0,0.0,0.7578007761966365,EWY,1.2795177258418327,0.9187580853816301,0.07444670750069568,13.700000000000001,-0.637703450519628
XETF001_V02,ret_3m,top1_ew,quarterly,after_cost,2011-01-04,2026-05-18,3865,0.0011358092509266005,7.387034086669964e-05,0.13369868585234215,-0.7312471031901162,0.00010101966974561013,0.26337873813109886,0.9981324018231738,113.0,7.353153393907002,56.0,0.0,0.7578007761966365,EWY,1.2795177258418327,0.9187580853816301,0.07444670750069568,13.700000000000001,-0.7210988493277369
XETF001_V02,ret_3m,top1_ew,quarterly,after_tax,2011-01-04,2026-05-18,3865,-0.18947956271362043,-0.013577261081129999,0.08214377686202011,-0.7551704859482689,-0.017979067420889748,0.26440970488445825,0.8080888759745204,113.20002586167587,7.366169507567631,56.20002586167589,18296064.909921862,0.7578007761966365,EWY,1.2795177258418327,0.9187580853816301,0.07444670750069568,13.700000000000001,-0.7726537583180589
XETF001_V03,ret_3m,top2_ew,monthly,gross,2011-01-04,2026-05-18,3865,3.3481780964102485,0.10036313617216375,0.6355109944440751,-0.29267072557578455,0.3429216775087933,0.17492071683105948,4.3481780964102485,184.34302335012427,11.995597591062335,91.67151167506213,0.0,0.45191561349387993,EWY,0.793295400239976,0.47011642949547217,0.1772688524721639,90.5,-0.21928654073600395
XETF001_V03,ret_3m,top2_ew,monthly,after_cost,2011-01-04,2026-05-18,3865,1.5056114019192073,0.06159331432112647,0.42917853046974536,-0.39946223984630425,0.15419057967738053,0.17548350954726236,2.4980945677134496,184.34302335012427,11.995597591062335,91.67151167506213,0.0,0.45191561349387993,EWY,0.793295400239976,0.47011642949547217,0.1772688524721639,90.5,-0.4256190047103337
XETF001_V03,ret_3m,top2_ew,monthly,after_tax,2011-01-04,2026-05-18,3865,1.1246959327928927,0.05026261548311006,0.36698573327490636,-0.4032684590519654,0.12463810237297332,0.17633069775685456,2.118321844994514,184.4548447262789,12.002874048863953,91.797699831195,19291145.733002886,0.45191561349387993,EWY,0.793295400239976,0.47011642949547217,0.1772688524721639,90.5,-0.4878118019051727
XETF001_V04,ret_3m,top2_ew,quarterly,gross,2011-01-04,2026-05-18,3865,1.352147325567553,0.057236130319118006,0.3813522031448734,-0.44432211886716644,0.1288167477798448,0.19796295695764796,2.352147325567553,98.08919133327565,6.382874957149284,48.544595666637825,0.0,0.4417960327727468,EWY,0.868757058863073,0.45937904269081503,0.08873978325772044,13.700000000000001,-0.47344533203520567
