variant_id,signal,portfolio,rebalance,cost_layer,window,strategy_start_date,strategy_end_date,strategy_trading_days,strategy_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_calmar,strategy_volatility,strategy_nav_final,p08_proxy_start_date,p08_proxy_end_date,p08_proxy_trading_days,p08_proxy_total_return,p08_proxy_cagr,p08_proxy_sharpe,p08_proxy_max_drawdown,p08_proxy_calmar,p08_proxy_volatility,p08_proxy_nav_final,beats_p08_proxy_sharpe
XETF001_V01,ret_3m,top1_ew,monthly,gross,2011_2014,2011-01-04,2014-12-31,1005,-0.30574342200344873,-0.08741940576638119,-0.38219627724634087,-0.5182086687737274,-0.16869537511452232,0.19132917612916422,0.6942565779965513,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,False
XETF001_V01,ret_3m,top1_ew,monthly,gross,2015_2019,2015-01-02,2019-12-31,1258,-0.20040744850438874,-0.043797698514324246,-0.09370089308051106,-0.32601793015570246,-0.13434137960880546,0.21986816730324682,0.7995925514956113,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,False
XETF001_V01,ret_3m,top1_ew,monthly,gross,2020_2026,2020-01-02,2026-05-18,1602,1.536762621525099,0.15725539207727102,0.6785260361217885,-0.4104011541845508,0.3831748290029316,0.269407598682368,2.536762621525099,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,False
XETF001_V01,ret_3m,top1_ew,monthly,after_cost,2011_2014,2011-01-04,2014-12-31,1005,-0.4307924021818733,-0.1317401794352855,-0.640896105244199,-0.5830036946315295,-0.22596800097218603,0.19165752659145782,0.5692075978181267,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,False
XETF001_V01,ret_3m,top1_ew,monthly,after_cost,2015_2019,2015-01-02,2019-12-31,1258,-0.34836288934735893,-0.08218473797706594,-0.27878885158137656,-0.41313908805691213,-0.19892752913697806,0.22042539584735435,0.6516371106526411,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,False
XETF001_V01,ret_3m,top1_ew,monthly,after_cost,2020_2026,2020-01-02,2026-05-18,1602,0.9466180378636757,0.11016238522065991,0.5230241244425379,-0.45804153224615285,0.24050741573682957,0.27030143811171353,1.9466180378636757,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,False
XETF001_V01,ret_3m,top1_ew,monthly,after_tax,2011_2014,2011-01-04,2014-12-31,1005,-0.45222446828865615,-0.14005386417302967,-0.6880824929550223,-0.5987046311917559,-0.2339281456604811,0.19230786812369077,0.5477755317113439,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,False
XETF001_V01,ret_3m,top1_ew,monthly,after_tax,2015_2019,2015-01-02,2019-12-31,1258,-0.3483628893473588,-0.08218473797706594,-0.2787888515813753,-0.4131390880569119,-0.19892752913697817,0.22042539584735418,0.6516371106526412,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,False
XETF001_V01,ret_3m,top1_ew,monthly,after_tax,2020_2026,2020-01-02,2026-05-18,1602,0.8049179939533389,0.09707602333166498,0.4781996452109278,-0.4801279544887618,0.20218781769337119,0.27140335095450874,1.8049179939533389,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,False
XETF001_V02,ret_3m,top1_ew,quarterly,gross,2011_2014,2011-01-04,2014-12-31,1005,0.14612946419631845,0.03478249633172337,0.2778444510404542,-0.21685040949857515,0.1603985734320318,0.18463652057622973,1.1461294641963184,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,False
XETF001_V02,ret_3m,top1_ew,quarterly,gross,2015_2019,2015-01-02,2019-12-31,1258,-0.03191265513218566,-0.006473549953918023,0.08588440598424346,-0.3890909377734635,-0.01663762715976452,0.22813637986569135,0.9680873448678143,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,False
XETF001_V02,ret_3m,top1_ew,quarterly,gross,2020_2026,2020-01-02,2026-05-18,1602,0.2190216512593497,0.031560499983101176,0.2611190951130681,-0.5666333708931985,0.055698272647358486,0.3237840328605405,1.2190216512593497,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,False
XETF001_V02,ret_3m,top1_ew,quarterly,after_cost,2011_2014,2011-01-04,2014-12-31,1005,0.04719954124037673,0.011628620903670006,0.15536994123956785,-0.24915651642408454,0.04667195171358534,0.1854278342688242,1.0471995412403767,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,False
XETF001_V02,ret_3m,top1_ew,quarterly,after_cost,2015_2019,2015-01-02,2019-12-31,1258,-0.12605706131995253,-0.02662053739713921,-0.003993227751490655,-0.40362132594315125,-0.06595423900096058,0.22807912247476841,0.8739429386800475,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,False
XETF001_V02,ret_3m,top1_ew,quarterly,after_cost,2020_2026,2020-01-02,2026-05-18,1602,0.0550781879896165,0.008447349236896828,0.19098923575161927,-0.6084672967547772,0.013882996312127612,0.3238791146121075,1.0550781879896165,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,False
XETF001_V02,ret_3m,top1_ew,quarterly,after_tax,2011_2014,2011-01-04,2014-12-31,1005,0.016821269321876997,0.004190544636939686,0.11570890799836867,-0.27093777836513333,0.01546681552578554,0.18581136335925322,1.016821269321877,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,False
XETF001_V02,ret_3m,top1_ew,quarterly,after_tax,2015_2019,2015-01-02,2019-12-31,1258,-0.2026234348063929,-0.04432894409877086,-0.08247070949000097,-0.4245505024035562,-0.10441383026944111,0.22955706247308727,0.7973765651936071,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,False
XETF001_V02,ret_3m,top1_ew,quarterly,after_tax,2020_2026,2020-01-02,2026-05-18,1602,-0.03594465166446603,-0.00572690180366775,0.14777310419736597,-0.6267463059930479,-0.00913751185911461,0.32494387291541016,0.964055348335534,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,False
