variant_id,strategy_after_cost_sharpe,random_trials,random_mean_sharpe,random_median_sharpe,random_p90_sharpe,random_p95_sharpe,percentile
XETF001_V01,0.03762616255067513,1000,0.1620811190966043,0.16025026432005113,0.41925700127987275,0.500261650163338,27.700000000000003
XETF001_V02,0.13369868585234215,1000,0.3812052697027579,0.37948802498255574,0.6701156770457112,0.7517654686017136,13.700000000000001
XETF001_V03,0.42917853046974536,1000,0.22090101152522926,0.21906966026510455,0.42500303893659347,0.4859956446938915,90.5
XETF001_V04,0.28509288018420736,1000,0.4840316584466442,0.4806585015467382,0.7246855764945049,0.8014399152863938,13.700000000000001
XETF001_V05,0.36298978114540303,1000,0.27565481189856916,0.27022145090001265,0.45570600081379226,0.5283275602157441,73.4
XETF001_V06,0.22238268205218525,1000,0.5546973202802521,0.5533148924441196,0.7717890601974137,0.8335036453752165,2.3
XETF001_V07,0.3217426356351117,1000,0.2689049475835449,0.2637067442951673,0.45663808076903695,0.5099802173946127,64.7
XETF001_V08,0.21485610455957888,1000,0.5514651131316245,0.5529504102286344,0.7555650153253639,0.809825886969676,1.9
XETF001_V09,0.6730445615412154,1000,0.4801292686051539,0.4786324418124972,0.61914167070716,0.6686761014308255,95.39999999999999
XETF001_V10,0.3808727125108132,1000,0.6919739700315547,0.694369267004761,0.8202439356934268,0.8529961269220269,0.2
XETF001_V11,0.5424734554497402,1000,0.1620811190966043,0.16025026432005113,0.41925700127987275,0.500261650163338,96.8
XETF001_V12,0.5201305163992502,1000,0.3812052697027579,0.37948802498255574,0.6701156770457112,0.7517654686017136,73.4
XETF001_V13,0.46101498322637263,1000,0.22090101152522926,0.21906966026510455,0.42500303893659347,0.4859956446938915,93.30000000000001
XETF001_V14,0.33786398863201644,1000,0.4840316584466442,0.4806585015467382,0.7246855764945049,0.8014399152863938,22.400000000000002
XETF001_V15,0.5918530025448123,1000,0.27565481189856916,0.27022145090001265,0.45570600081379226,0.5283275602157441,97.89999999999999
XETF001_V16,0.4582455138553496,1000,0.5546973202802521,0.5533148924441196,0.7717890601974137,0.8335036453752165,28.799999999999997
XETF001_V17,0.5835186242122576,1000,0.26726483663336437,0.26570440157091424,0.44890866335318225,0.5119439528543166,97.8
XETF001_V18,0.45511445497897496,1000,0.5546973202802521,0.5533148924441196,0.7717890601974137,0.8335036453752165,28.1
XETF001_V19,0.6940059887117318,1000,0.5353400180164317,0.5337172324639452,0.6439929557380139,0.6773877057936206,96.7
XETF001_V20,0.508819459020471,1000,0.7131730114764816,0.716738493298869,0.8341116757032571,0.8688386331749698,2.0
XETF001_V21,0.4964274254231722,1000,0.1620811190966043,0.16025026432005113,0.41925700127987275,0.500261650163338,94.69999999999999
XETF001_V22,0.562449569300226,1000,0.3812052697027579,0.37948802498255574,0.6701156770457112,0.7517654686017136,78.60000000000001
XETF001_V23,0.4468254885953254,1000,0.22090101152522926,0.21906966026510455,0.42500303893659347,0.4859956446938915,92.30000000000001
XETF001_V24,0.26097910725039286,1000,0.4840316584466442,0.4806585015467382,0.7246855764945049,0.8014399152863938,10.299999999999999
XETF001_V25,0.5262710488685929,1000,0.27565481189856916,0.27022145090001265,0.45570600081379226,0.5283275602157441,94.8
XETF001_V26,0.308325184277752,1000,0.5546973202802521,0.5533148924441196,0.7717890601974137,0.8335036453752165,6.5
XETF001_V27,0.5262710488685929,1000,0.27565481189856916,0.27022145090001265,0.45570600081379226,0.5283275602157441,94.8
XETF001_V28,0.308325184277752,1000,0.5546973202802521,0.5533148924441196,0.7717890601974137,0.8335036453752165,6.5
XETF001_V29,0.6091587953389309,1000,0.5685149024362827,0.5680416207495897,0.6616851722528992,0.6850878790086241,71.39999999999999
XETF001_V30,0.637060454332455,1000,0.7398099539208038,0.7415859343388849,0.8313891430718837,0.8550344551453143,8.5
XETF001_V31,0.6410836003349851,1000,0.1620811190966043,0.16025026432005113,0.41925700127987275,0.500261650163338,98.8
XETF001_V32,0.6732643292177927,1000,0.3812052697027579,0.37948802498255574,0.6701156770457112,0.7517654686017136,90.4
XETF001_V33,0.5721959461004026,1000,0.22090101152522926,0.21906966026510455,0.42500303893659347,0.4859956446938915,98.5
XETF001_V34,0.3787759858275154,1000,0.4840316584466442,0.4806585015467382,0.7246855764945049,0.8014399152863938,29.5
XETF001_V35,0.643958719808452,1000,0.27565481189856916,0.27022145090001265,0.45570600081379226,0.5283275602157441,99.3
XETF001_V36,0.41327561381256905,1000,0.5546973202802521,0.5533148924441196,0.7717890601974137,0.8335036453752165,19.1
XETF001_V37,0.643958719808452,1000,0.27565481189856916,0.27022145090001265,0.45570600081379226,0.5283275602157441,99.3
XETF001_V38,0.41327561381256905,1000,0.5546973202802521,0.5533148924441196,0.7717890601974137,0.8335036453752165,19.1
XETF001_V39,0.6407515511016477,1000,0.5554482193313877,0.5519360325545786,0.6481132505458874,0.6695258530076009,88.4
XETF001_V40,0.6998142410877649,1000,0.7386744266891668,0.7413391848973427,0.8273958453783138,0.8559949829068737,27.700000000000003
