threshold,hypothesis,description,value,threshold_value,passes
-0.2,H1,Threshold 0.0 reproduces D001 Sharpe 0.4842,0.34651678156753457,0.4842,
-0.2,H7,Threshold Sharpe is at least 0.40 for plateau count,0.34651678156753457,0.4,False
-0.2,H8,"ON share, trade count, max DD, and subperiod returns are descriptive checks",0.29508196721311475,,
