signal_date,sector_rank,sector_code,sector_name,rs_score,n_holdings,tickers
2010-03-31,1,05,조선/기계/산업재,2.0293683628035253,0,
2010-03-31,2,02,자동차/운송장비,0.9467131397564076,0,
2010-03-31,3,07,헬스케어,0.6141194108737049,0,
2010-06-30,1,03,2차전지/화학/소재,1.621998987862737,0,
2010-06-30,2,05,조선/기계/산업재,1.5863468241969938,0,
2010-06-30,3,02,자동차/운송장비,1.023388740396679,0,
2010-09-30,1,09,소비재/유통,1.1277482330752444,0,
2010-09-30,2,02,자동차/운송장비,0.9010404235053289,0,
2010-09-30,3,12,건설/부동산,0.7834615005172109,0,
2010-12-30,1,02,자동차/운송장비,1.2949092924856598,0,
2010-12-30,2,01,반도체/IT하드웨어,1.1456026846993246,0,
2010-12-30,3,03,2차전지/화학/소재,1.024047216374514,0,
2011-03-31,1,03,2차전지/화학/소재,2.3361777782709003,0,
2011-03-31,2,02,자동차/운송장비,1.0220568825039742,0,
2011-03-31,3,04,철강금속,0.37390474098251186,0,
2011-06-30,1,12,건설/부동산,1.2676476940103298,0,
2011-06-30,2,09,소비재/유통,0.7721390675681756,0,
2011-06-30,3,10,음식료,0.714736201250837,0,
2011-09-30,1,10,음식료,1.6631807913113879,0,
2011-09-30,2,01,반도체/IT하드웨어,1.0257227729157519,0,
2011-09-30,3,08,인터넷/게임/SW,0.7646073590486923,0,
2011-12-29,1,07,헬스케어,2.2901545018429026,0,
2011-12-29,2,12,건설/부동산,1.0979996833592298,0,
2011-12-29,3,05,조선/기계/산업재,0.5866460177844962,0,
2012-03-30,1,07,헬스케어,2.5011866716621287,0,
2012-03-30,2,01,반도체/IT하드웨어,0.8336324057977806,0,
2012-03-30,3,09,소비재/유통,0.2131850487013664,0,
2012-06-29,1,07,헬스케어,2.3774714681497837,0,
2012-06-29,2,05,조선/기계/산업재,0.9484772412205476,0,
2012-06-29,3,10,음식료,0.5790913243666422,0,
2012-09-28,1,01,반도체/IT하드웨어,2.0127719365436523,0,
2012-09-28,2,09,소비재/유통,1.212496929661483,0,
2012-09-28,3,08,인터넷/게임/SW,1.1370103617071732,0,
2012-12-28,1,01,반도체/IT하드웨어,1.917721411550962,0,
2012-12-28,2,07,헬스케어,0.7414904177416787,0,
2012-12-28,3,12,건설/부동산,0.5306378661594979,0,
2013-03-29,1,07,헬스케어,2.4703259901349863,0,
2013-03-29,2,09,소비재/유통,0.8015733924164281,0,
2013-03-29,3,10,음식료,0.245237224431654,0,
2013-06-28,1,02,자동차/운송장비,1.7843162053168327,0,
2013-06-28,2,08,인터넷/게임/SW,1.4591733784440164,0,
