entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
2018-01-30,2018-01-29,2018-02-01,005930,2522000.0,2531000.0,7.930214115781126e-08,0.2,0.00013000000000000002,0.0005318913560666138,signal_reversal
2018-01-30,2018-01-29,2018-02-02,000720,43600.0,44400.0,4.587155963302753e-06,0.2,0.00013000000000000002,0.0005397247706422019,signal_reversal
2018-01-30,2018-01-29,2018-02-02,009150,109000.0,102500.0,1.8348623853211011e-06,0.2,0.00013000000000000002,0.0004983944954128441,signal_reversal
2018-01-30,2018-01-29,2018-02-02,128940,600000.0,570000.0,3.3333333333333335e-07,0.2,0.00013000000000000002,0.0005035,signal_reversal
2018-02-02,2018-02-01,2018-02-06,004800,137500.0,125500.0,1.419187262487214e-06,0.19513824859199194,0.00012683986158479476,0.0004719862038216852,signal_reversal
2018-02-02,2018-02-01,2018-02-06,008770,97700.0,86400.0,1.997320865834104e-06,0.19513824859199194,0.00012683986158479476,0.0004573065854413764,signal_reversal
2018-02-02,2018-02-01,2018-02-08,011170,428000.0,388000.0,4.5593048736446716e-07,0.19513824859199194,0.00012683986158479476,0.0004687877271081452,signal_reversal
2018-02-01,2018-01-31,2018-02-08,037560,9400.0,8190.0,2.1039904709681546e-05,0.19777510427100653,0.00012855381777615425,0.0004566395718665734,signal_reversal
2018-01-30,2018-01-29,2018-02-08,006360,31850.0,30550.0,6.279434850863423e-06,0.2,0.00013000000000000002,0.0005083673469387756,signal_reversal
2018-02-06,2018-02-05,2018-02-08,086790,52400.0,48700.0,3.4730387195835015e-06,0.18198722890617547,0.00011829169878901405,0.00044821301195584873,signal_reversal
2018-02-06,2018-02-05,2018-02-09,024110,16800.0,15500.0,1.0832573149177111e-05,0.18198722890617547,0.00011829169878901405,0.0004449479421024498,signal_reversal
2018-02-08,2018-02-07,2018-02-12,267250,436000.0,421500.0,3.957154577039749e-07,0.17253193955893306,0.00011214576071330649,0.0004420042733688973,signal_reversal
2018-02-09,2018-02-08,2018-02-13,006360,30050.0,30750.0,5.833093317048464e-06,0.17528445417730634,0.00011393489521524914,0.00047532419167298673,signal_reversal
2018-02-09,2018-02-08,2018-02-13,010950,112000.0,115000.0,1.5650397694402352e-06,0.17528445417730634,0.00011393489521524914,0.00047694586973691166,signal_reversal
2018-02-12,2018-02-09,2018-02-14,004990,65800.0,61800.0,2.6514898303096834e-06,0.17446803083437717,0.00011340422004234516,0.0004342344895098169,signal_reversal
2018-02-08,2018-02-07,2018-02-19,002210,18700.0,17500.0,9.22630692828519e-06,0.17253193955893306,0.00011214576071330649,0.00042786998379922567,signal_reversal
2018-02-13,2018-02-12,2018-02-19,003490,36400.0,35900.0,4.6786291514622114e-06,0.1703021011132245,0.00011069636572359591,0.0004451013843243575,signal_reversal
2018-02-14,2018-02-13,2018-02-20,145720,69300.0,72900.0,2.436009036511778e-06,0.1688154262302662,0.00010973002704967303,0.0004706004057185278,signal_reversal
2018-02-20,2018-02-19,2018-02-23,011170,447000.0,448000.0,3.824909693800256e-07,0.17097346331287144,0.00011113275115336646,0.00045409327884796645,signal_reversal
2018-02-09,2018-02-08,2018-02-23,014680,72500.0,78200.0,2.4177166093421566e-06,0.17528445417730634,0.00011393489521524914,0.0005010234129539751,signal_reversal
2018-02-13,2018-02-12,2018-02-23,000660,75900.0,76100.0,2.243769448132075e-06,0.1703021011132245,0.00011069636572359591,0.00045248976575755495,signal_reversal
2018-02-19,2018-02-14,2018-02-26,005880,31700.0,33650.0,5.37048670159114e-06,0.17024442844043913,0.00011065887848628544,0.0004788997253976359,signal_reversal
2018-02-19,2018-02-14,2018-02-26,005420,26800.0,27900.0,6.352404046285043e-06,0.17024442844043913,0.00011065887848628544,0.0004696649931620847,signal_reversal
2018-02-23,2018-02-22,2018-02-27,204320,249500.0,250000.0,6.941550768317249e-07,0.17319169166951537,0.00011257459958518499,0.00045987773840101766,signal_reversal
2018-02-23,2018-02-22,2018-02-27,006400,180500.0,178000.0,9.595107571718302e-07,0.17319169166951537,0.00011257459958518499,0.0004526012241579523,signal_reversal
2018-02-23,2018-02-22,2018-02-27,267250,415500.0,435000.0,4.168271760999167e-07,0.17319169166951537,0.00011257459958518499,0.00048049752724917886,signal_reversal
2018-02-27,2018-02-26,2018-03-02,012510,58000.0,55400.0,3.0027754861765404e-06,0.17416097819823934,0.00011320463582885556,0.0004408374691255779,signal_reversal
2018-02-26,2018-02-23,2018-03-02,251270,159000.0,145000.0,1.102692403094758e-06,0.1753280920920665,0.00011396325985984323,0.0004237095558891607,signal_reversal
2018-02-27,2018-02-26,2018-03-05,024110,17150.0,16650.0,1.0155159078614539e-05,0.17416097819823934,0.00011320463582885556,0.00044807100644617,signal_reversal
2018-03-02,2018-02-28,2018-03-06,000030,16400.0,16100.0,1.0230408295290818e-05,0.16777869604276943,0.00010905615242780014,0.00043648036991858274,signal_reversal
