run,period,row_type,holding_days,trade_count,pct,metric,value
T1_immediate,oos,histogram,0,1,0.0013698630136986301,,
T1_immediate,oos,histogram,2,178,0.24383561643835616,,
T1_immediate,oos,histogram,3,64,0.08767123287671233,,
T1_immediate,oos,histogram,4,94,0.12876712328767123,,
T1_immediate,oos,histogram,5,142,0.19452054794520549,,
T1_immediate,oos,histogram,6,53,0.07260273972602739,,
T1_immediate,oos,histogram,7,41,0.056164383561643834,,
T1_immediate,oos,histogram,8,34,0.04657534246575343,,
T1_immediate,oos,histogram,9,29,0.03972602739726028,,
T1_immediate,oos,histogram,10,17,0.023287671232876714,,
T1_immediate,oos,histogram,11,19,0.026027397260273973,,
T1_immediate,oos,histogram,12,13,0.01780821917808219,,
T1_immediate,oos,histogram,13,5,0.00684931506849315,,
T1_immediate,oos,histogram,14,8,0.010958904109589041,,
T1_immediate,oos,histogram,15,8,0.010958904109589041,,
T1_immediate,oos,histogram,16,9,0.012328767123287671,,
T1_immediate,oos,histogram,17,3,0.00410958904109589,,
T1_immediate,oos,histogram,18,2,0.0027397260273972603,,
T1_immediate,oos,histogram,19,2,0.0027397260273972603,,
T1_immediate,oos,histogram,20,3,0.00410958904109589,,
T1_immediate,oos,histogram,21,2,0.0027397260273972603,,
T1_immediate,oos,histogram,22,2,0.0027397260273972603,,
T1_immediate,oos,histogram,27,1,0.0013698630136986301,,
T1_immediate,oos,summary,,730,,mean,5.542465753424658
T1_immediate,oos,summary,,730,,median,5.0
T1_immediate,oos,summary,,730,,p05,2.0
T1_immediate,oos,summary,,730,,p25,3.0
T1_immediate,oos,summary,,730,,p75,7.0
T1_immediate,oos,summary,,730,,p95,14.0
T2_freshness,oos,histogram,0,1,0.0011750881316098707,,
T2_freshness,oos,histogram,2,284,0.3337250293772033,,
T2_freshness,oos,histogram,3,101,0.11868390129259694,,
T2_freshness,oos,histogram,4,60,0.07050528789659224,,
T2_freshness,oos,histogram,5,186,0.21856639247943596,,
T2_freshness,oos,histogram,6,55,0.06462984723854288,,
T2_freshness,oos,histogram,7,35,0.041128084606345476,,
T2_freshness,oos,histogram,8,27,0.03172737955346651,,
T2_freshness,oos,histogram,9,37,0.043478260869565216,,
T2_freshness,oos,histogram,10,12,0.01410105757931845,,
T2_freshness,oos,histogram,11,16,0.01880141010575793,,
T2_freshness,oos,histogram,12,12,0.01410105757931845,,
T2_freshness,oos,histogram,13,6,0.007050528789659225,,
T2_freshness,oos,histogram,14,3,0.0035252643948296123,,
T2_freshness,oos,histogram,15,3,0.0035252643948296123,,
T2_freshness,oos,histogram,16,4,0.004700352526439483,,
T2_freshness,oos,histogram,17,1,0.0011750881316098707,,
T2_freshness,oos,histogram,18,2,0.0023501762632197414,,
T2_freshness,oos,histogram,19,3,0.0035252643948296123,,
T2_freshness,oos,histogram,22,1,0.0011750881316098707,,
T2_freshness,oos,histogram,23,1,0.0011750881316098707,,
T2_freshness,oos,histogram,40,1,0.0011750881316098707,,
T2_freshness,oos,summary,,851,,mean,4.73443008225617
T2_freshness,oos,summary,,851,,median,4.0
T2_freshness,oos,summary,,851,,p05,2.0
T2_freshness,oos,summary,,851,,p25,2.0
T2_freshness,oos,summary,,851,,p75,6.0
T2_freshness,oos,summary,,851,,p95,11.0
T3_acceleration,oos,histogram,0,1,0.0013812154696132596,,
T3_acceleration,oos,histogram,2,168,0.23204419889502761,,
T3_acceleration,oos,histogram,3,63,0.08701657458563536,,
T3_acceleration,oos,histogram,4,90,0.12430939226519337,,
T3_acceleration,oos,histogram,5,152,0.20994475138121546,,
T3_acceleration,oos,histogram,6,55,0.07596685082872928,,
T3_acceleration,oos,histogram,7,39,0.05386740331491713,,
T3_acceleration,oos,histogram,8,32,0.04419889502762431,,
T3_acceleration,oos,histogram,9,28,0.03867403314917127,,
T3_acceleration,oos,histogram,10,19,0.026243093922651933,,
T3_acceleration,oos,histogram,11,18,0.024861878453038673,,
T3_acceleration,oos,histogram,12,13,0.017955801104972375,,
T3_acceleration,oos,histogram,13,7,0.009668508287292817,,
T3_acceleration,oos,histogram,14,9,0.012430939226519336,,
T3_acceleration,oos,histogram,15,8,0.011049723756906077,,
T3_acceleration,oos,histogram,16,7,0.009668508287292817,,
T3_acceleration,oos,histogram,17,4,0.0055248618784530384,,
T3_acceleration,oos,histogram,18,2,0.0027624309392265192,,
T3_acceleration,oos,histogram,19,1,0.0013812154696132596,,
T3_acceleration,oos,histogram,20,2,0.0027624309392265192,,
T3_acceleration,oos,histogram,21,3,0.004143646408839779,,
T3_acceleration,oos,histogram,22,2,0.0027624309392265192,,
T3_acceleration,oos,histogram,24,1,0.0013812154696132596,,
T3_acceleration,oos,summary,,724,,mean,5.584254143646409
T3_acceleration,oos,summary,,724,,median,5.0
T3_acceleration,oos,summary,,724,,p05,2.0
T3_acceleration,oos,summary,,724,,p25,3.0
T3_acceleration,oos,summary,,724,,p75,7.0
T3_acceleration,oos,summary,,724,,p95,14.0
T4_persistence_3d,oos,histogram,0,1,0.0012106537530266344,,
T4_persistence_3d,oos,histogram,1,1,0.0012106537530266344,,
T4_persistence_3d,oos,histogram,2,225,0.27239709443099275,,
T4_persistence_3d,oos,histogram,3,201,0.24334140435835352,,
T4_persistence_3d,oos,histogram,4,112,0.13559322033898305,,
T4_persistence_3d,oos,histogram,5,84,0.1016949152542373,,
T4_persistence_3d,oos,histogram,6,43,0.05205811138014528,,
T4_persistence_3d,oos,histogram,7,39,0.04721549636803874,,
T4_persistence_3d,oos,histogram,8,29,0.035108958837772396,,
T4_persistence_3d,oos,histogram,9,22,0.026634382566585957,,
T4_persistence_3d,oos,histogram,10,14,0.01694915254237288,,
T4_persistence_3d,oos,histogram,11,17,0.020581113801452784,,
T4_persistence_3d,oos,histogram,12,6,0.007263922518159807,,
T4_persistence_3d,oos,histogram,13,5,0.006053268765133172,,
T4_persistence_3d,oos,histogram,14,5,0.006053268765133172,,
T4_persistence_3d,oos,histogram,15,4,0.004842615012106538,,
T4_persistence_3d,oos,histogram,16,6,0.007263922518159807,,
T4_persistence_3d,oos,histogram,17,3,0.0036319612590799033,,
T4_persistence_3d,oos,histogram,18,2,0.002421307506053269,,
T4_persistence_3d,oos,histogram,19,3,0.0036319612590799033,,
T4_persistence_3d,oos,histogram,20,1,0.0012106537530266344,,
T4_persistence_3d,oos,histogram,21,1,0.0012106537530266344,,
T4_persistence_3d,oos,histogram,24,1,0.0012106537530266344,,
T4_persistence_3d,oos,histogram,25,1,0.0012106537530266344,,
T4_persistence_3d,oos,summary,,826,,mean,4.608958837772397
T4_persistence_3d,oos,summary,,826,,median,3.0
T4_persistence_3d,oos,summary,,826,,p05,2.0
T4_persistence_3d,oos,summary,,826,,p25,2.0
T4_persistence_3d,oos,summary,,826,,p75,5.0
T4_persistence_3d,oos,summary,,826,,p95,11.0
