run,period,exit_reason,count,pct
T1_immediate,is,signal_reversal,1213,0.999176276771005
T1_immediate,is,signal_reversal_fallback,1,0.0008237232289950577
T1_immediate,oos,period_end,5,0.00684931506849315
T1_immediate,oos,signal_reversal,724,0.9917808219178083
T1_immediate,oos,signal_reversal_fallback,1,0.0013698630136986301
T2_freshness,is,signal_reversal,1370,0.9992706053975201
T2_freshness,is,signal_reversal_fallback,1,0.0007293946024799417
T2_freshness,oos,period_end,5,0.005875440658049354
T2_freshness,oos,signal_reversal,846,0.9941245593419507
T3_acceleration,is,signal_reversal,1188,0.9991589571068125
T3_acceleration,is,signal_reversal_fallback,1,0.0008410428931875525
T3_acceleration,oos,period_end,5,0.006906077348066298
T3_acceleration,oos,signal_reversal,718,0.9917127071823204
T3_acceleration,oos,signal_reversal_fallback,1,0.0013812154696132596
T4_persistence_3d,is,signal_reversal,1311,0.9992378048780488
T4_persistence_3d,is,signal_reversal_fallback,1,0.0007621951219512195
T4_persistence_3d,oos,period_end,5,0.006053268765133172
T4_persistence_3d,oos,signal_reversal,820,0.9927360774818402
T4_persistence_3d,oos,signal_reversal_fallback,1,0.0012106537530266344
