entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
2018-01-30,2018-01-29,2018-02-02,010130,533000.0,512000.0,3.75234521575985e-07,0.2,0.00013000000000000002,0.0005091181988742965,signal_reversal
2018-01-30,2018-01-29,2018-02-02,017800,63900.0,61000.0,3.129890453834116e-06,0.2,0.00013000000000000002,0.0005059467918622849,signal_reversal
2018-01-30,2018-01-29,2018-02-02,028670,6040.0,6010.0,3.3112582781456954e-05,0.2,0.00013000000000000002,0.0005273675496688742,signal_reversal
2018-01-30,2018-01-29,2018-02-06,096770,209500.0,195000.0,9.54653937947494e-07,0.2,0.00013000000000000002,0.0004933174224343675,signal_reversal
2018-02-02,2018-02-01,2018-02-07,055550,52600.0,51300.0,3.667746244494468e-06,0.192923452460409,0.00012540024409926588,0.0004986117632078004,signal_reversal
2018-02-06,2018-02-05,2018-02-08,011170,404000.0,388000.0,4.6762210635002553e-07,0.1889193309654103,0.0001227975651275167,0.00048080904974909624,signal_reversal
2018-02-06,2018-02-05,2018-02-08,000990,15100.0,15200.0,1.2511213971219226e-05,0.1889193309654103,0.0001227975651275167,0.0005039516987607104,signal_reversal
2018-01-30,2018-01-29,2018-02-09,004990,71300.0,63500.0,2.8050490883590463e-06,0.2,0.00013000000000000002,0.0004720196353436185,signal_reversal
2018-02-07,2018-02-06,2018-02-12,000270,34350.0,33100.0,5.445406494415369e-06,0.18704971308316792,0.00012158231350405914,0.00047764383065764416,signal_reversal
2018-02-08,2018-02-07,2018-02-12,012330,244000.0,236500.0,7.695989474625427e-07,0.18778214318086042,0.00012205839306755928,0.00048232690034846206,signal_reversal
2018-02-08,2018-02-07,2018-02-12,024110,16100.0,15800.0,1.166348715409071e-05,0.18778214318086042,0.00012205839306755928,0.000488350207141778,signal_reversal
2018-02-06,2018-02-05,2018-02-12,025620,17750.0,18900.0,1.064334258960058e-05,0.1889193309654103,0.0001227975651275167,0.000533071813600145,signal_reversal
