execution_date,signal_date,종목코드,fnv_5,inv_5,combined_flow_5,signal_value,signal
2018-01-30,2018-01-29,010130,0.27058455655852787,0.134839028945727,0.4054235855042549,0.4054235855042549,True
2018-01-30,2018-01-29,096770,0.1852811245551257,0.14168005770754086,0.3269611822626665,0.3269611822626665,True
2018-01-30,2018-01-29,004990,0.1175975962232484,0.19028207982130502,0.3078796760445534,0.3078796760445534,True
2018-01-30,2018-01-29,017800,0.23864393537550047,0.03396432826458542,0.2726082636400859,0.2726082636400859,True
2018-01-30,2018-01-29,028670,0.03839677737232436,0.22040466905750314,0.2588014464298275,0.2588014464298275,True
2018-01-30,2018-01-29,023530,0.14422388020853463,0.09415934082717752,0.23838322103571213,0.23838322103571213,True
2018-01-30,2018-01-29,093370,0.02362791408213646,0.08077585665103579,0.10440377073317224,0.10440377073317224,True
2018-01-31,2018-01-30,207940,0.13999523290211827,0.0443515988488967,0.184346831751015,0.184346831751015,True
2018-01-31,2018-01-30,036570,0.07849757356040041,0.07726854223232411,0.1557661157927245,0.1557661157927245,True
2018-01-31,2018-01-30,249420,0.04228860593158236,0.020760147993468803,0.06304875392505116,0.06304875392505116,True
2018-01-31,2018-01-30,004870,0.05011242939757475,0.009467402849449618,0.05957983224702437,0.05957983224702437,True
2018-02-01,2018-01-31,000720,0.016893906224834165,0.14489179899433938,0.16178570521917354,0.16178570521917354,True
2018-02-01,2018-01-31,009150,0.008196728131444946,0.14301394724750063,0.15121067537894559,0.15121067537894559,True
2018-02-01,2018-01-31,006360,0.09228681241435285,0.05272217422863071,0.14500898664298356,0.14500898664298356,True
2018-02-01,2018-01-31,128940,0.07492863562250617,0.04629059579842408,0.12121923142093025,0.12121923142093025,True
2018-02-01,2018-01-31,009420,0.005076486864275637,0.01655833154444416,0.021634818408719798,0.021634818408719798,True
2018-02-02,2018-02-01,055550,0.03856244648663624,0.048053552050606956,0.0866159985372432,0.0866159985372432,True
2018-02-06,2018-02-05,011170,0.02762797216798066,0.09313857514657574,0.1207665473145564,0.1207665473145564,True
2018-02-06,2018-02-05,000990,0.027534343287693868,0.06015027460988902,0.08768461789758289,0.08768461789758289,True
2018-02-06,2018-02-05,025620,0.0061814475510452585,0.05403119303262988,0.06021264058367514,0.06021264058367514,True
2018-02-07,2018-02-06,000270,0.02024418828389366,0.17105516221874859,0.19129935050264224,0.19129935050264224,True
2018-02-07,2018-02-06,005380,0.11901329953326216,0.0340062218104564,0.15301952134371855,0.15301952134371855,True
2018-02-08,2018-02-07,012330,0.09574435874272602,0.0051890742686509644,0.10093343301137699,0.10093343301137699,True
2018-02-08,2018-02-07,024110,0.05506935408877537,0.011133071776611998,0.06620242586538737,0.06620242586538737,True
2018-02-08,2018-02-07,001360,0.009088940575056315,4.1587514314308597e-05,0.009130528089370624,0.009130528089370624,True
2018-02-08,2018-02-07,002720,0.005539262097343645,9.604130824396231e-06,0.005548866228168041,0.005548866228168041,True
2018-02-09,2018-02-08,016360,0.03526931566782212,0.14329187526833728,0.1785611909361594,0.1785611909361594,True
2018-02-12,2018-02-09,002210,0.0025704210170185066,0.0006722040237073805,0.0032426250407258874,0.0032426250407258874,True
2018-02-14,2018-02-13,035510,0.03970973813442151,0.06535174786036466,0.10506148599478617,0.10506148599478617,True
2018-02-19,2018-02-14,000660,0.207335386966723,0.07383233941864142,0.2811677263853644,0.2811677263853644,True
2018-02-19,2018-02-14,010060,0.0732934213296464,0.09794006832307603,0.17123348965272242,0.17123348965272242,True
2018-02-19,2018-02-14,007460,0.01484477367878519,0.0021950932852390086,0.017039866964024198,0.017039866964024198,True
2018-02-20,2018-02-19,207940,0.14976874595699477,0.07748142402208659,0.22725016997908135,0.22725016997908135,True
2018-02-21,2018-02-20,005880,0.09618075499354213,0.013513752036396898,0.10969450702993903,0.10969450702993903,True
2018-02-21,2018-02-20,005420,0.027041768688559183,0.06126076465680483,0.08830253334536402,0.08830253334536402,True
2018-02-22,2018-02-21,285130,0.0010091875047124209,0.16771778380245558,0.16872697130716802,0.16872697130716802,True
2018-02-22,2018-02-21,066570,0.062240155765599596,0.07265575889018332,0.1348959146557829,0.1348959146557829,True
2018-02-22,2018-02-21,011170,0.08103619353370713,0.02369391884659516,0.10473011238030228,0.10473011238030228,True
2018-02-22,2018-02-21,105560,0.002762238389567834,0.044515096517471923,0.04727733490703976,0.04727733490703976,True
2018-02-22,2018-02-21,002210,0.008764411980223501,9.213965291621558e-05,0.008856551633139717,0.008856551633139717,True
