phase,expected_number,found_in_close_note
S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0,"12,187",True
S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0,"12,145",True
S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0,99.66,True
S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0,42,True
KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0,166,True
KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0,17,True
KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0,52,True
KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0,73,True
KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0,166,True
KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0,39,True
KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0,17,True
KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0,862,True
KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0,42,True
KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0,511,True
KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0,200,True
KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0,166,True
KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0,39,True
KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0,711,True
KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0,511,True
KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0,200,True
KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0,499,True
KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0,170,True
KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0,42,True
KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0,39,True
KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0,3,True
