pdno,ticker,prdt_name,kis_mcls,ksic,final_sector_code,final_sector_name,mapping_source
00000A462870,462870,시프트업보통주,,소프트웨어 개발 및 공급업,08,인터넷/게임/SW,ksic_fallback
00000A465770,465770,STX그린로지스보통주,,해상 운송업,05,조선/기계/산업재,ksic_fallback
00000A475150,475150,에스케이이터닉스보통주,,건물 건설업,12,건설/부동산,ksic_fallback
00000A475560,475560,더본코리아보통주,,상품 종합 도매업,09,소비재/유통,ksic_fallback
00000A480370,480370,씨케이솔루션보통주,,일반 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A483650,483650,달바글로벌보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A484870,484870,엠앤씨솔루션보통주,,특수 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A487570,487570,에이치에스효성보통주,,기타 금융업,06,금융,ksic_fallback
00000A489790,489790,한화비전보통주,,통신 및 방송 장비 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A499790,499790,지에스피앤엘보통주,,기타 금융업,06,금융,ksic_fallback
00000A900050,900050,중국원양자원유한공사보통주,,기타 금융업,06,금융,ksic_fallback
00000A900140,900140,엘브이엠씨홀딩스보통주,,자동차 판매업,02,자동차/운송장비,ksic_fallback
00000A950010,950010,평산차업집단 KDR,,"회사본부, 지주회사 및 경영컨설팅 서비스업",06,금융,ksic_fallback
00000A950070,950070,중국고섬공고유한공사KDR,,"회사본부, 지주회사 및 경영컨설팅 서비스업",06,금융,ksic_fallback
00000A950100,950100,SBI모기지KDR,,기타 금융업,06,금융,ksic_fallback
00000A950210,950210,프레스티지바이오파마KDR,,자연과학 및 공학 연구개발업,07,헬스케어,ksic_fallback
