pdno,ticker,prdt_name,kis_mcls,ksic,final_sector_code,final_sector_name,mapping_source
00000A267260,267260,에이치디현대일렉트릭보통주,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",01,반도체/IT하드웨어,ksic_fallback
00000A267270,267270,에이치디건설기계보통주,,특수 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A267290,267290,경동도시가스보통주,,가스 제조 및 배관공급업,11,에너지/유틸리티,ksic_fallback
00000A267850,267850,아시아나IDT보통주,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",08,인터넷/게임/SW,ksic_fallback
00000A268280,268280,미원스페셜티케미칼보통주,,기초화학물질 제조업,03,2차전지/화학/소재,ksic_fallback
00000A271560,271560,오리온보통주,,동물용 사료 및 조제식품 제조업,10,음식료,ksic_fallback
00000A271940,271940,일진하이솔루스보통주,,그외 기타 운송장비 제조업,02,자동차/운송장비,ksic_fallback
00000A271980,271980,제일약품보통주,,의약품 제조업,07,헬스케어,ksic_fallback
00000A272210,272210,한화시스템보통주,,전자부품 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A272450,272450,진에어보통주,,정기 항공 운송업,05,조선/기계/산업재,ksic_fallback
00000A272550,272550,삼양패키징보통주,,플라스틱제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A278470,278470,에이피알보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
