final_sector_code,final_sector_name,avg_top1_weight,avg_top2_weight
01,반도체/IT하드웨어,0.712049922322966,0.8510662159750566
02,자동차/운송장비,0.3381991302686764,0.5829086232494772
03,2차전지/화학/소재,0.3067874466592122,0.4670323096238142
04,철강금속,0.6746832712079405,0.8856863817147534
05,조선/기계/산업재,0.2769421452686216,0.483219485166126
06,금융,0.17598939038548442,0.3187955239784735
07,헬스케어,0.6813312597570557,0.8485454706494526
08,인터넷/게임/SW,0.22739468301653465,0.4017560631997368
09,소비재/유통,0.522332905826924,0.7076667574725299
10,음식료,0.6305373245634812,0.8427009067852401
11,에너지/유틸리티,0.9193670908883113,0.9982354634030964
12,건설/부동산,0.5670273678953095,0.8065586142894943
