quarter,quarter_end_date,dominant_sector_code,dominant_sector_name,dominant_mcap_weight,dominant_n_stocks,warning_gt_50pct,hard_fail_gt_70pct
2010Q1,2010-03-31,01,반도체/IT하드웨어,0.25935788273756727,11,False,False
2010Q2,2010-06-30,01,반도체/IT하드웨어,0.24519338209272734,12,False,False
2010Q3,2010-09-30,01,반도체/IT하드웨어,0.2171852203822208,10,False,False
2010Q4,2010-12-30,01,반도체/IT하드웨어,0.22380075563596452,8,False,False
2011Q1,2011-03-31,01,반도체/IT하드웨어,0.21598543508368004,8,False,False
2011Q2,2011-06-30,02,자동차/운송장비,0.19118217273947813,9,False,False
2011Q3,2011-09-30,01,반도체/IT하드웨어,0.20679660157923618,6,False,False
2011Q4,2011-12-29,01,반도체/IT하드웨어,0.2509948645129439,9,False,False
2012Q1,2012-03-30,01,반도체/IT하드웨어,0.2726042039698736,9,False,False
2012Q2,2012-06-29,01,반도체/IT하드웨어,0.2696546372396826,8,False,False
2012Q3,2012-09-28,01,반도체/IT하드웨어,0.28302749838387975,7,False,False
2012Q4,2012-12-28,01,반도체/IT하드웨어,0.3157389242545858,9,False,False
2013Q1,2013-03-29,01,반도체/IT하드웨어,0.3223319863586342,10,False,False
2013Q2,2013-06-28,01,반도체/IT하드웨어,0.30423587947468916,9,False,False
2013Q3,2013-09-30,01,반도체/IT하드웨어,0.2900887887081292,9,False,False
2013Q4,2013-12-30,01,반도체/IT하드웨어,0.2868773888851774,10,False,False
2014Q1,2014-03-31,01,반도체/IT하드웨어,0.2879813557937792,8,False,False
2014Q2,2014-06-30,01,반도체/IT하드웨어,0.3001764115813889,8,False,False
2014Q3,2014-09-30,01,반도체/IT하드웨어,0.2723869529465192,8,False,False
2014Q4,2014-12-30,01,반도체/IT하드웨어,0.29471878913537175,9,False,False
2015Q1,2015-03-31,01,반도체/IT하드웨어,0.32638337250961463,7,False,False
2015Q2,2015-06-30,01,반도체/IT하드웨어,0.2804743726135128,6,False,False
2015Q3,2015-09-30,01,반도체/IT하드웨어,0.2512483677001082,11,False,False
2015Q4,2015-12-30,01,반도체/IT하드웨어,0.2682708721535044,9,False,False
2016Q1,2016-03-31,01,반도체/IT하드웨어,0.2611227776099538,9,False,False
2016Q2,2016-06-30,01,반도체/IT하드웨어,0.2897190595417157,7,False,False
2016Q3,2016-09-30,01,반도체/IT하드웨어,0.30565766083095475,10,False,False
2016Q4,2016-12-29,01,반도체/IT하드웨어,0.326464863876261,7,False,False
2017Q1,2017-03-31,01,반도체/IT하드웨어,0.3583038517819225,9,False,False
2017Q2,2017-06-30,01,반도체/IT하드웨어,0.3512461533725762,8,False,False
2017Q3,2017-09-29,01,반도체/IT하드웨어,0.3765741634435337,10,False,False
2017Q4,2017-12-28,01,반도체/IT하드웨어,0.37198162161723847,10,False,False
2018Q1,2018-03-30,01,반도체/IT하드웨어,0.3639505445897825,12,False,False
2018Q2,2018-06-29,01,반도체/IT하드웨어,0.372311145285107,11,False,False
2018Q3,2018-09-28,01,반도체/IT하드웨어,0.3494170229128921,11,False,False
