final_sector_code,final_sector_name,mean_n_stocks,median_n_stocks,min_n_stocks
01,반도체/IT하드웨어,11.227272727272727,11.0,6
02,자동차/운송장비,8.287878787878787,8.0,5
03,2차전지/화학/소재,16.681818181818183,16.0,10
04,철강금속,4.0606060606060606,4.0,1
05,조선/기계/산업재,9.818181818181818,9.0,5
06,금융,14.606060606060606,15.0,6
07,헬스케어,6.106060606060606,5.0,1
08,인터넷/게임/SW,12.727272727272727,12.0,6
09,소비재/유통,8.015151515151516,8.5,2
10,음식료,3.5303030303030303,3.5,1
11,에너지/유틸리티,1.5151515151515151,1.0,1
12,건설/부동산,3.3636363636363638,3.0,0
