quarter,quarter_end_date,final_sector_code,final_sector_name,n_stocks,mcap_weight
2010Q1,2010-03-31,11,에너지/유틸리티,1,0.03247968479350515
2010Q2,2010-06-30,07,헬스케어,2,0.009226567385396829
2010Q2,2010-06-30,11,에너지/유틸리티,2,0.0314646544844354
2010Q3,2010-09-30,07,헬스케어,2,0.008975028079872573
2010Q3,2010-09-30,11,에너지/유틸리티,1,0.02287527931795639
2010Q4,2010-12-30,07,헬스케어,1,0.005928437770153024
2010Q4,2010-12-30,10,음식료,2,0.01373436607207194
2011Q1,2011-03-31,07,헬스케어,2,0.004600954255016613
2011Q1,2011-03-31,11,에너지/유틸리티,1,0.01823086635394819
2011Q2,2011-06-30,07,헬스케어,1,0.0052144569539551095
2011Q2,2011-06-30,11,에너지/유틸리티,2,0.022248236896090595
2011Q3,2011-09-30,07,헬스케어,2,0.004204179917858493
2011Q3,2011-09-30,11,에너지/유틸리티,1,0.017016635127533555
2011Q4,2011-12-29,11,에너지/유틸리티,1,0.020510770409504542
2012Q1,2012-03-30,11,에너지/유틸리티,2,0.01967403556232177
2012Q2,2012-06-29,11,에너지/유틸리티,2,0.019611679491663384
2012Q3,2012-09-28,11,에너지/유틸리티,2,0.026560257133842153
2012Q4,2012-12-28,11,에너지/유틸리티,2,0.02862527282783098
2013Q1,2013-03-29,11,에너지/유틸리티,2,0.028141194707978108
2013Q2,2013-06-28,11,에너지/유틸리티,2,0.025079761701791374
2013Q3,2013-09-30,11,에너지/유틸리티,2,0.026343378619449874
2013Q4,2013-12-30,07,헬스케어,2,0.0034685300862161545
2013Q4,2013-12-30,11,에너지/유틸리티,2,0.03076357252141421
2014Q1,2014-03-31,11,에너지/유틸리티,2,0.03249883225380637
2014Q2,2014-06-30,11,에너지/유틸리티,2,0.03251005211870547
2014Q3,2014-09-30,07,헬스케어,2,0.002405733525256028
2014Q3,2014-09-30,11,에너지/유틸리티,1,0.03424466974041062
2014Q4,2014-12-30,07,헬스케어,2,0.0014488066982963177
2014Q4,2014-12-30,11,에너지/유틸리티,2,0.03533481490232567
2015Q1,2015-03-31,11,에너지/유틸리티,1,0.03392148561809451
2015Q2,2015-06-30,11,에너지/유틸리티,2,0.03829403510744176
2015Q3,2015-09-30,11,에너지/유틸리티,1,0.03556986551248754
2015Q3,2015-09-30,12,건설/부동산,2,0.00895210903179564
2015Q4,2015-12-30,11,에너지/유틸리티,1,0.03601373081724032
2016Q1,2016-03-31,11,에너지/유틸리티,1,0.04139422562937759
2016Q2,2016-06-30,11,에너지/유틸리티,1,0.0443341580805548
2016Q2,2016-06-30,12,건설/부동산,2,0.007270202109625113
2016Q3,2016-09-30,11,에너지/유틸리티,1,0.03724973658546125
2016Q3,2016-09-30,12,건설/부동산,2,0.008851898108545744
2016Q4,2016-12-29,11,에너지/유틸리티,2,0.03371174785889879
2017Q1,2017-03-31,11,에너지/유틸리티,2,0.03315729584739193
2017Q2,2017-06-30,10,음식료,2,0.01781181109073869
2017Q2,2017-06-30,11,에너지/유틸리티,2,0.026604812418874458
2017Q3,2017-09-29,11,에너지/유틸리티,1,0.021214681247127422
2017Q3,2017-09-29,12,건설/부동산,2,0.005898981463150281
2017Q4,2017-12-28,11,에너지/유틸리티,1,0.02070726873273817
2018Q1,2018-03-30,10,음식료,2,0.01572883473058166
2018Q1,2018-03-30,11,에너지/유틸리티,1,0.01786313436555814
2018Q1,2018-03-30,12,건설/부동산,2,0.004275541861896887
2018Q2,2018-06-29,07,헬스케어,2,0.02590946105054341
2018Q2,2018-06-29,11,에너지/유틸리티,1,0.0184207910129261
2018Q3,2018-09-28,11,에너지/유틸리티,2,0.021063691282387262
2018Q4,2018-12-28,11,에너지/유틸리티,2,0.02625272300061401
2019Q1,2019-03-29,11,에너지/유틸리티,2,0.0223673938611477
2019Q2,2019-06-28,10,음식료,2,0.01826804983288686
2019Q2,2019-06-28,11,에너지/유틸리티,1,0.01665161446465222
2019Q3,2019-09-30,11,에너지/유틸리티,1,0.01639560038290182
2019Q4,2019-12-30,10,음식료,2,0.015525745898239988
2019Q4,2019-12-30,11,에너지/유틸리티,2,0.019864809043742986
2020Q1,2020-03-31,11,에너지/유틸리티,1,0.013987652617636626
2020Q2,2020-06-30,11,에너지/유틸리티,1,0.012371583819582834
2020Q2,2020-06-30,12,건설/부동산,2,0.00374699446074946
2020Q3,2020-09-29,10,음식료,2,0.014933901369305306
2020Q3,2020-09-29,11,에너지/유틸리티,1,0.011331590288823686
2020Q3,2020-09-29,12,건설/부동산,1,0.002330613051741692
2020Q4,2020-12-30,10,음식료,1,0.007753899071537302
2020Q4,2020-12-30,11,에너지/유틸리티,1,0.011954560258368007
2021Q1,2021-03-31,10,음식료,1,0.007201893654105121
2021Q1,2021-03-31,11,에너지/유틸리티,1,0.009577170459804968
2021Q1,2021-03-31,12,건설/부동산,2,0.00553006246138953
2021Q2,2021-06-30,10,음식료,2,0.007419232566357315
2021Q2,2021-06-30,11,에너지/유틸리티,1,0.009755973699135168
2021Q3,2021-09-30,04,철강금속,1,0.0185370788365086
2021Q3,2021-09-30,10,음식료,1,0.007182560249045863
2021Q3,2021-09-30,11,에너지/유틸리티,2,0.0030954737365754274
2021Q3,2021-09-30,12,건설/부동산,2,0.003916007706529366
2021Q4,2021-12-30,10,음식료,1,0.00667211077600134
2021Q4,2021-12-30,11,에너지/유틸리티,1,0.00872755015595126
2022Q1,2022-03-31,11,에너지/유틸리티,2,0.009555739662692731
2022Q2,2022-06-30,07,헬스케어,2,0.048472132993573815
2022Q2,2022-06-30,10,음식료,2,0.0003041928597497133
2022Q2,2022-06-30,11,에너지/유틸리티,1,0.010973568043574682
2022Q3,2022-09-30,12,건설/부동산,2,0.004826253636996039
2022Q4,2022-12-29,10,음식료,1,0.009827148022598275
2022Q4,2022-12-29,12,건설/부동산,2,0.004456125229717118
2023Q1,2023-03-31,10,음식료,2,0.01150614527164529
2023Q1,2023-03-31,11,에너지/유틸리티,1,0.008098584510592229
2023Q1,2023-03-31,12,건설/부동산,1,0.0012378971942330452
2023Q2,2023-06-30,10,음식료,2,0.007957203012899601
2023Q2,2023-06-30,11,에너지/유틸리티,1,0.009009767832691931
2023Q3,2023-09-27,11,에너지/유틸리티,1,0.0080093807894541
2023Q3,2023-09-27,12,건설/부동산,2,0.0028653299814634095
2023Q4,2023-12-28,10,음식료,1,0.007186016621451136
2023Q4,2023-12-28,11,에너지/유틸리티,1,0.00749742003656209
2024Q1,2024-03-29,04,철강금속,1,0.021263471497915288
2024Q1,2024-03-29,10,음식료,1,0.0015308770570844636
2024Q1,2024-03-29,11,에너지/유틸리티,1,0.008414580678144948
2024Q1,2024-03-29,12,건설/부동산,2,0.0003347943833728363
2024Q2,2024-06-28,04,철강금속,2,0.01917817139593146
2024Q2,2024-06-28,11,에너지/유틸리티,2,0.010265497375180547
2024Q2,2024-06-28,12,건설/부동산,0,0.0
2024Q3,2024-09-30,09,소비재/유통,2,0.021681201076111836
2024Q3,2024-09-30,11,에너지/유틸리티,2,0.010980079773337394
2024Q3,2024-09-30,12,건설/부동산,1,0.0003783105812435167
2024Q4,2024-12-30,04,철강금속,2,0.028360864539434205
2024Q4,2024-12-30,11,에너지/유틸리티,2,0.010913582642714647
2024Q4,2024-12-30,12,건설/부동산,1,0.00013424587796610378
2025Q1,2025-03-31,11,에너지/유틸리티,2,0.011071227989573544
