rcept_no,event_category,is_correction,correction_action_class,blocker,recovery_performed,needs_separate_verdict_and_download_approval
20150122900284,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20150128900203,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20150323600022,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20150421900128,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20150514901020,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20150526800147,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20150911800465,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20150925900143,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20151127900167,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20151230900233,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20151231900042,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20160224900085,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20160429600510,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20160429900298,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20160429900427,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20161017900147,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20161115900075,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20161125900030,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20170124900643,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20170124900649,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20170223600535,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20170327900337,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20170330902219,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20170421900722,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20171110900736,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20180321900419,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20180402900901,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20180724800459,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20181008900701,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20181008900702,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20190117900312,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20190304900009,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20190322600250,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20190411900687,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20190415900808,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20190424600679,suspension_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20190828900580,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20191004900529,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20191230800862,resumption_related,True,zip_unparseable_requires_source_recovery,zip_unparseable; body never parsed,False,True
20200320902492,suspension_related,False,,zip_unparseable; body never parsed,False,True
20200429901359,suspension_related,False,,zip_unparseable; body never parsed,False,True
20241129900819,suspension_related,False,,zip_unparseable; body never parsed,False,True
