rcept_no,event_category,universe_parse_status,universe_residual_class,correction_action_class,overlap_type
20101126900274,resumption_related,no_label_match,usable_html_inline,no_link_insufficient_evidence,correction_AND_no_label_match
20110318800229,resumption_related,label_no_value,usable_html_inline,body_confirms_candidate_but_below_high,correction_AND_label_no_value
20110506800027,resumption_related,label_no_value,usable_html_inline,body_confirms_candidate_but_below_high,correction_AND_label_no_value
20130117900277,suspension_related,no_label_match,usable_html_inline,body_confirms_candidate_but_below_high,correction_AND_no_label_match
20130314802024,resumption_related,label_no_value,usable_html_inline,no_link_original_not_found,correction_AND_label_no_value
20140519900313,resumption_related,no_label_match,usable_html_inline,no_link_cross_category_blocked,correction_AND_no_label_match
20150122900284,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20150128900203,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20150323600022,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20150421900128,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20150514901020,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20150526800147,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20150911800465,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20150925900143,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20151127900167,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20151230900233,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20151231900042,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20160224900085,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20160429600510,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20160429900298,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20160429900427,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20161017900147,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20161115900075,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20161125900030,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20170124900643,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20170124900649,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20170223600535,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20170327900337,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20170330902219,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20170421900722,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20171110900736,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20180321900419,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20180402900901,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20180724800459,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20181008900701,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20181008900702,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20190117900312,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20190304900009,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20190322600250,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20190411900687,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20190415900808,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20190424600679,suspension_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20190828900580,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20191004900529,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20191230800862,resumption_related,body_unavailable,zip_unparseable,zip_unparseable_requires_source_recovery,correction_AND_universe_zip
20200512900593,suspension_related,no_label_match,usable_html_inline,accepted_high_validated_design_only,correction_AND_no_label_match
20200805900060,suspension_related,no_label_match,usable_html_inline,accepted_high_validated_design_only,correction_AND_no_label_match
20210430901247,suspension_related,no_label_match,usable_html_inline,rejected_wrong_candidate_quarantined,correction_AND_no_label_match
20220816902970,suspension_related,no_label_match,usable_html_inline,body_confirms_candidate_but_below_high,correction_AND_no_label_match
20230717800694,resumption_related,label_no_value,usable_html_inline,no_link_insufficient_evidence,correction_AND_label_no_value
20240328800097,resumption_related,label_no_value,usable_html_inline,body_confirms_candidate_but_below_high,correction_AND_label_no_value
20240610900602,resumption_related,no_label_match,usable_html_inline,body_confirms_candidate_but_below_high,correction_AND_no_label_match
20250620900644,suspension_related,no_label_match,usable_html_inline,rejected_wrong_candidate_quarantined,correction_AND_no_label_match
20260123900664,resumption_related,no_label_match,usable_html_inline,no_link_insufficient_evidence,correction_AND_no_label_match
20260123900670,resumption_related,no_label_match,usable_html_inline,no_link_insufficient_evidence,correction_AND_no_label_match
20260323801642,resumption_related,label_no_value,usable_html_inline,no_link_original_not_found,correction_AND_label_no_value
20260323801944,resumption_related,label_no_value,usable_html_inline,no_link_original_not_found,correction_AND_label_no_value
