rcept_no,rcept_dt,stock_code,corp_name,event_category,report_nm,source_period,prior_body_status,prior_parse_status,correction_flag,correction_pass3_confidence,is_period_change,manual_review_required,priority_bucket,attempt_status,body_format,http_detail,retries
20241029900334,2024-10-29,036930,주성엔지니어링,suspension_related,[기재정정]주권매매거래정지              (매매거래정지 취소),post_2018,body_unavailable,body_unavailable,True,medium_needs_manual,False,True,P0_correction_high_medium,download_success,html_inline,http_200_size_1984,0
20260323901219,2026-03-23,214610,롤링스톤,suspension_related,[기재정정]주권매매거래정지              (풍문 또는 보도 관련),post_2018,body_unavailable,body_unavailable,True,medium_needs_manual,False,True,P0_correction_high_medium,download_success,html_inline,http_200_size_1967,0
20260506900571,2026-05-06,900110,딥커머스,suspension_related,[기재정정]주권매매거래정지              ,post_2018,body_unavailable,body_unavailable,True,medium_needs_manual,False,True,P0_correction_high_medium,download_success,html_inline,http_200_size_1918,0
20100104800008,20100104,073240,금호타이어,resumption_related,매매거래정지및정지해제(풍문등조회공시),pre_2018,body_unavailable,body_unavailable,False,,False,True,P1_resumption,download_success,html_inline,http_200_size_1243,0
20100106900418,20100106,098400,엔스퍼트,resumption_related,주권매매거래정지해제(우회상장 해당 및 요건충족 확인),pre_2018,body_unavailable,body_unavailable,False,,False,True,P1_resumption,download_success,html_inline,http_200_size_1350,0
20100106800343,20100106,073240,금호타이어,resumption_related,매매거래정지및정지해제(중요내용공시),pre_2018,body_unavailable,body_unavailable,False,,False,True,P1_resumption,download_success,html_inline,http_200_size_1371,0
20100106800096,20100106,002990,금호건설,resumption_related,매매거래정지및정지해제(중요내용공시),pre_2018,body_unavailable,body_unavailable,False,,False,True,P1_resumption,download_success,html_inline,http_200_size_1253,0
20100107900565,20100107,018890,브이오산업,resumption_related,주권매매거래정지해제(우회상장 해당 및 요건충족 확인),pre_2018,body_unavailable,body_unavailable,False,,False,True,P1_resumption,download_success,html_inline,http_200_size_1281,0
20100107900091,20100107,018000,유니슨,resumption_related,기타경영사항(자율공시)(채권가압류 해제),pre_2018,body_unavailable,body_unavailable,False,,False,True,P1_resumption,download_success,html_inline,http_200_size_1536,0
20100112900179,20100112,037020,한와이어리스,resumption_related,주권매매거래정지해제,pre_2018,body_unavailable,body_unavailable,False,,False,True,P1_resumption,download_success,html_inline,http_200_size_1277,0
