defect_id,defect_class,rcept_no,category,notes
BC_00001,zip_unparseable,20180724800459,resumption_related,zip_unparseable/http_200_size_147
BC_00002,zip_unparseable,20170124900649,suspension_related,zip_unparseable/http_200_size_147
BC_00003,zip_unparseable,20170124900643,suspension_related,zip_unparseable/http_200_size_147
BC_00004,zip_unparseable,20200429901359,suspension_related,zip_unparseable/http_200_size_147
BC_00005,body_unavailable_remaining,20210326901514,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00006,body_unavailable_remaining,20210326901459,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00007,body_unavailable_remaining,20210329902092,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00008,body_unavailable_remaining,20210329902088,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00009,body_unavailable_remaining,20210329902048,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00010,body_unavailable_remaining,20210330902453,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00011,body_unavailable_remaining,20210330902448,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00012,body_unavailable_remaining,20210330902446,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00013,body_unavailable_remaining,20210330902441,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00014,body_unavailable_remaining,20210330902438,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00015,body_unavailable_remaining,20210330902427,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00016,body_unavailable_remaining,20210330902420,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00017,body_unavailable_remaining,20210331903144,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00018,body_unavailable_remaining,20210331903068,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00019,body_unavailable_remaining,20210331902809,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00020,body_unavailable_remaining,20210331902462,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00021,body_unavailable_remaining,20210331900650,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00022,body_unavailable_remaining,20210401901028,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00023,body_unavailable_remaining,20210401600350,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00024,body_unavailable_remaining,20210401600347,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00025,body_unavailable_remaining,20210401600345,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00026,body_unavailable_remaining,20210402900643,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00027,body_unavailable_remaining,20210406900729,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00028,body_unavailable_remaining,20210406900717,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00029,body_unavailable_remaining,20210406900711,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00030,body_unavailable_remaining,20210406900259,suspension_related,not_attempted_in_this_run/budget_exhausted
BC_00031,body_unavailable_remaining,20210407900838,suspension_related,not_attempted_in_this_run/budget_exhausted
