special_bbs_seq,affected_class_b_cycle,candidate_ticker,candidate_name,side,matching_class_b_event_id,source_basis,confidence,caveat
758,2021-12,323410,카카오뱅크,addition_candidate_title_derived,BX01-DIFF-774-0006,title_name_extraction + kospi200_snapshot_exact_name,high_secondary_triangulated,secondary/triangulated; title-derived link; not primary parse; addition may have happened at the special date NOT the regular review
759,2021-12,259960,크래프톤,addition_candidate_title_derived,BX01-DIFF-774-0005,title_name_extraction + kospi200_snapshot_exact_name,high_secondary_triangulated,secondary/triangulated; title-derived link; not primary parse; addition may have happened at the special date NOT the regular review
773,2021-12,377300,카카오페이,addition_candidate_title_derived,BX01-DIFF-774-0009,title_name_extraction + kospi200_snapshot_exact_name,high_secondary_triangulated,secondary/triangulated; title-derived link; not primary parse; addition may have happened at the special date NOT the regular review
789,2022-06,373220,LG에너지솔루션,addition_candidate_title_derived,BX01-DIFF-799-0026,title_name_extraction + kospi200_snapshot_exact_name,high_secondary_triangulated,secondary/triangulated; title-derived link; not primary parse; addition may have happened at the special date NOT the regular review
907,2024-06,450080,에코프로머티,addition_candidate_title_derived,BX01-DIFF-939-0070,title_name_extraction + kospi200_snapshot_exact_name,high_secondary_triangulated,secondary/triangulated; title-derived link; not primary parse; addition may have happened at the special date NOT the regular review
921,2024-06,022100,포스코DX,addition_candidate_title_derived,BX01-DIFF-939-0067,title_name_extraction + kospi200_snapshot_exact_name,high_secondary_triangulated,secondary/triangulated; title-derived link; not primary parse; addition may have happened at the special date NOT the regular review
