variant,stress_window,measurement_type,total_return,baseline_total_return,delta_total_return,delta_return_pp,daily_max_drawdown,baseline_daily_max_drawdown,delta_daily_max_drawdown,delta_mdd_pp,proxy_excluded_sleeves
N003-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28123615757165377,0.2798274908556464,0.0014086667160073674,0.14086667160073674,-0.10749385985945492,-0.1139424568406335,0.006448596981178584,0.6448596981178584,H001
N003-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.038448174019433234,-0.0338014808439223,-0.0046466931755109325,-0.46466931755109325,-0.294467116195299,-0.3126571229831321,0.018190006787833113,1.8190006787833113,H001
N003-A,covid_2020_02_2020_03,exact,-0.06781541885818598,-0.0903787945228757,0.022563375664689717,2.2563375664689715,-0.19621801517094328,-0.1997684591470635,0.0035504439761202267,0.35504439761202267,
N003-A,rate_shock_2022,exact,-0.22970955605652532,-0.1836134839585798,-0.04609607209794553,-4.609607209794553,-0.25451185453845326,-0.210901177900133,-0.04361067663832027,-4.361067663832027,
N003-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.3104400802738474,0.2798274908556464,0.030612589418200997,3.0612589418200997,-0.15045787195623372,-0.1139424568406335,-0.03651541511560022,-3.651541511560022,H001;SHY
N003-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.07430119055335338,-0.0338014808439223,-0.04049970970943108,-4.049970970943108,-0.38961752464510846,-0.3126571229831321,-0.07696040166197637,-7.696040166197637,H001;SHY
N003-B,covid_2020_02_2020_03,exact,-0.09801604839003619,-0.0903787945228757,-0.007637253867160493,-0.7637253867160493,-0.20691110576437033,-0.1997684591470635,-0.007142646617306819,-0.7142646617306819,
N003-B,rate_shock_2022,exact,-0.16863132793217306,-0.1836134839585798,0.014982156026406734,1.4982156026406734,-0.19499551777205515,-0.210901177900133,0.015905660128077842,1.590566012807784,
N003-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2997476382085411,0.2798274908556464,0.019920147352894713,1.9920147352894713,-0.13413098323558537,-0.1139424568406335,-0.02018852639495186,-2.018852639495186,H001;SHY
N003-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.05867674896430075,-0.0338014808439223,-0.02487526812037845,-2.487526812037845,-0.3532544330082169,-0.3126571229831321,-0.04059731002508482,-4.059731002508482,H001;SHY
N003-C,covid_2020_02_2020_03,exact,-0.08783859701087893,-0.0903787945228757,0.0025401975119967724,0.25401975119967724,-0.19802094745258247,-0.1997684591470635,0.0017475116944810354,0.17475116944810354,
N003-C,rate_shock_2022,exact,-0.1893283832515532,-0.1836134839585798,-0.005714899292973419,-0.5714899292973419,-0.21516714102077727,-0.210901177900133,-0.004265963120644284,-0.4265963120644284,
