variant,stress_window,measurement_type,portfolio_series,weights,start_date,end_date,n_observations,total_return,cagr,gross_sharpe,annualized_volatility,daily_max_drawdown,mdd_peak_date,mdd_trough_date,mdd_recovery_date,registered_weights,proxy_excluded_sleeves
N003-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N003-A,SPY:0.3625;QQQ:0.2625;TLT:0.3750,2002-07-30,2003-12-31,360,0.28123615757165377,0.19054226445341227,1.3199423746367471,0.1387383626974076,-0.10749385985945492,2002-08-22,2002-10-09,2002-11-05,SPY:0.2900;QQQ:0.2100;H001:0.2000;TLT:0.3000,H001
N003-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N003-A,SPY:0.3625;QQQ:0.2625;TLT:0.3750,2008-01-02,2009-12-31,505,-0.038448174019433234,-0.01945206218114659,-0.017988985364471494,0.18101194952699032,-0.294467116195299,2008-01-03,2009-03-09,,SPY:0.2900;QQQ:0.2100;H001:0.2000;TLT:0.3000,H001
N003-A,covid_2020_02_2020_03,exact,N003-A,SPY:0.2900;QQQ:0.2100;H001:0.2000;TLT:0.3000,2020-02-03,2020-03-31,42,-0.06781541885818598,-0.3623659760807544,-1.2603924933889992,0.29905264473949195,-0.19621801517094328,2020-02-19,2020-03-18,,SPY:0.2900;QQQ:0.2100;H001:0.2000;TLT:0.3000,
N003-A,rate_shock_2022,exact,N003-A,SPY:0.2900;QQQ:0.2100;H001:0.2000;TLT:0.3000,2022-01-03,2022-12-30,260,-0.22970955605652532,-0.23207269437135558,-1.5554776850296337,0.154865437089749,-0.25451185453845326,2022-01-03,2022-10-14,,SPY:0.2900;QQQ:0.2100;H001:0.2000;TLT:0.3000,
N003-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N003-B,SPY:0.4462;QQQ:0.3231;IEF:0.2308,2002-07-30,2003-12-31,360,0.3104400802738474,0.20957605297372828,1.1400794128424745,0.18024530970829772,-0.15045787195623372,2002-08-22,2002-10-09,2002-11-06,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1500;IEF:0.1500,H001;SHY
N003-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N003-B,SPY:0.4462;QQQ:0.3231;IEF:0.2308,2008-01-02,2009-12-31,505,-0.07430119055335338,-0.037943991309362435,-0.04055648871856605,0.24045907087157345,-0.38961752464510846,2008-05-16,2009-03-09,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1500;IEF:0.1500,H001;SHY
N003-B,covid_2020_02_2020_03,exact,N003-B,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1500;IEF:0.1500,2020-02-03,2020-03-31,42,-0.09801604839003619,-0.4836803024994303,-1.6806812820788908,0.3350108914151452,-0.20691110576437033,2020-02-17,2020-03-23,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1500;IEF:0.1500,
N003-B,rate_shock_2022,exact,N003-B,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1500;IEF:0.1500,2022-01-03,2022-12-30,260,-0.16863132793217306,-0.17043695374039058,-1.1931877710273122,0.1415962760559086,-0.19499551777205515,2022-01-03,2022-10-14,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1500;IEF:0.1500,
N003-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N003-C,SPY:0.4143;QQQ:0.3000;IEF:0.1429;TLT:0.1429,2002-07-30,2003-12-31,360,0.2997476382085411,0.20262193254700422,1.2034735935853207,0.16362223336017173,-0.13413098323558537,2002-08-22,2002-10-09,2002-11-06,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1000;IEF:0.1000;TLT:0.1000,H001;SHY
N003-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N003-C,SPY:0.4143;QQQ:0.3000;IEF:0.1429;TLT:0.1429,2008-01-02,2009-12-31,505,-0.05867674896430075,-0.029842209844981427,-0.032725726249529054,0.21555136327095756,-0.3532544330082169,2008-01-03,2009-03-09,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1000;IEF:0.1000;TLT:0.1000,H001;SHY
N003-C,covid_2020_02_2020_03,exact,N003-C,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1000;IEF:0.1000;TLT:0.1000,2020-02-03,2020-03-31,42,-0.08783859701087893,-0.4451908651595984,-1.5883770004553457,0.31600090602745146,-0.19802094745258247,2020-02-17,2020-03-19,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1000;IEF:0.1000;TLT:0.1000,
N003-C,rate_shock_2022,exact,N003-C,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1000;IEF:0.1000;TLT:0.1000,2022-01-03,2022-12-30,260,-0.1893283832515532,-0.1913291044178579,-1.3332547198889781,0.14470254593103865,-0.21516714102077727,2022-01-03,2022-10-14,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.1000;IEF:0.1000;TLT:0.1000,
