review_bucket,count,blocked_action_boundary
parser_generic_or_contextual_label,499,requires_future_parser_design_verdict
parser_table_or_attachment_context,170,requires_future_parser_design_verdict
correction_manual_review,110,manual_correction_review_only_non_authoritative
source_recovery_required,42,requires_separate_source_recovery_verdict_and_download_approval
parser_unhandled_format,23,requires_future_parser_design_verdict
rejected_wrong_candidate_quarantine,17,quarantine_review_only
mixed_or_multi_blocker,1,manual_triage_only
TOTAL,862,
