signal_date,mode,n_stocks,rank_ic,rank_ic_mean_quarterly,rank_ic_std_quarterly,rank_ic_t_stat,n_quarters
2017-03-31 00:00:00,within_sector,43,-0.07710622710622714,,,,
2017-06-30 00:00:00,within_sector,34,0.3633928571428572,,,,
2017-12-28 00:00:00,within_sector,34,-0.09346988795518207,,,,
2019-06-28 00:00:00,within_sector,23,0.28214285714285714,,,,
2019-09-30 00:00:00,within_sector,33,0.06007326007326003,,,,
2019-12-30 00:00:00,within_sector,37,-0.14652847152847154,,,,
2020-03-31 00:00:00,within_sector,29,0.19423076923076926,,,,
2020-06-30 00:00:00,within_sector,26,-0.14166666666666664,,,,
2020-09-29 00:00:00,within_sector,35,0.08849483849483848,,,,
2020-12-30 00:00:00,within_sector,26,-0.17142857142857143,,,,
2021-03-31 00:00:00,within_sector,32,0.27334887334887337,,,,
2021-06-30 00:00:00,within_sector,47,0.21676056786350906,,,,
2021-09-30 00:00:00,within_sector,56,-0.11367216117216118,,,,
2021-12-30 00:00:00,within_sector,36,0.29880952380952375,,,,
2023-09-27 00:00:00,within_sector,30,0.031085581085581043,,,,
2023-12-28 00:00:00,within_sector,33,0.052231102231102215,,,,
2024-03-29 00:00:00,within_sector,44,0.34117965367965375,,,,
2024-09-30 00:00:00,within_sector,57,0.10686911772438087,,,,
2025-06-30 00:00:00,within_sector,39,0.06899942163100058,,,,
2025-09-30 00:00:00,within_sector,54,0.23571060002948546,,,,
2025-12-30 00:00:00,within_sector,38,0.04469378660555136,,,,
2026-03-31 00:00:00,within_sector,47,0.17779568213004746,,,,
ALL,within_sector,833,0.07942791909070254,0.0950884775620914,0.16859022081883318,2.6454944513900718,22.0
