rcept_no,bucket,prior_status,recovery_status,acquired_sha256,acquired_byte_size,readability,opendart_status,opendart_message,document_body_readable,recovered_body_format,parser_version,read_only_parser_result,reparse_body_format,still_zip_unparseable,fail_closed,manual_review_required,executable_or_safe,downstream_authoritative,validated,approved,strategy_ready
20190322600250,correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20190411900687,correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20190415900808,correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20190424600679,correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20190828900580,correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20191004900529,correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20191230800862,correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20200320902492,non_correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20200429901359,non_correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
20241129900819,non_correction,zip_unparseable,not_recovered_opendart_status_014,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,147,non_zip_error_payload,014,파일이 존재하지 않습니다.,False,none,krx_status_html_inline-1.1.0,body_unavailable,missing,True,True,True,False,False,False,False,False
