run,period,row_type,holding_days,trade_count,pct,metric,value
headline,oos,histogram,0,1,0.0013698630136986301,,
headline,oos,histogram,2,178,0.24383561643835616,,
headline,oos,histogram,3,64,0.08767123287671233,,
headline,oos,histogram,4,94,0.12876712328767123,,
headline,oos,histogram,5,142,0.19452054794520549,,
headline,oos,histogram,6,53,0.07260273972602739,,
headline,oos,histogram,7,41,0.056164383561643834,,
headline,oos,histogram,8,34,0.04657534246575343,,
headline,oos,histogram,9,29,0.03972602739726028,,
headline,oos,histogram,10,17,0.023287671232876714,,
headline,oos,histogram,11,19,0.026027397260273973,,
headline,oos,histogram,12,13,0.01780821917808219,,
headline,oos,histogram,13,5,0.00684931506849315,,
headline,oos,histogram,14,8,0.010958904109589041,,
headline,oos,histogram,15,8,0.010958904109589041,,
headline,oos,histogram,16,9,0.012328767123287671,,
headline,oos,histogram,17,3,0.00410958904109589,,
headline,oos,histogram,18,2,0.0027397260273972603,,
headline,oos,histogram,19,2,0.0027397260273972603,,
headline,oos,histogram,20,3,0.00410958904109589,,
headline,oos,histogram,21,2,0.0027397260273972603,,
headline,oos,histogram,22,2,0.0027397260273972603,,
headline,oos,histogram,27,1,0.0013698630136986301,,
headline,oos,summary,,730,,mean,5.542465753424658
headline,oos,summary,,730,,median,5.0
headline,oos,summary,,730,,p05,2.0
headline,oos,summary,,730,,p25,3.0
headline,oos,summary,,730,,p75,7.0
headline,oos,summary,,730,,p95,14.0
A002_replay,oos,histogram,4,5,0.024390243902439025,,
A002_replay,oos,histogram,20,200,0.975609756097561,,
A002_replay,oos,summary,,205,,mean,19.609756097560975
A002_replay,oos,summary,,205,,median,20.0
A002_replay,oos,summary,,205,,p05,20.0
A002_replay,oos,summary,,205,,p25,20.0
A002_replay,oos,summary,,205,,p75,20.0
A002_replay,oos,summary,,205,,p95,20.0
