signal_date,sector_code,sector_name,n_holdings,tickers
2017-03-31,01,반도체/IT하드웨어,2,000660 005930
2017-03-31,02,자동차/운송장비,1,005380
2017-03-31,08,인터넷/게임/SW,1,035420
2017-03-31,11,에너지/유틸리티,1,015760
2017-06-30,01,반도체/IT하드웨어,2,000660 005930
2017-06-30,02,자동차/운송장비,1,005380
2017-06-30,08,인터넷/게임/SW,1,035420
2017-06-30,09,소비재/유통,1,028260
2017-12-28,01,반도체/IT하드웨어,2,000660 005930
2017-12-28,02,자동차/운송장비,1,005380
2017-12-28,04,철강금속,1,005490
2017-12-28,08,인터넷/게임/SW,1,035420
2019-06-28,01,반도체/IT하드웨어,2,000660 005930
2019-06-28,02,자동차/운송장비,1,005380
2019-06-28,03,2차전지/화학/소재,1,051910
2019-06-28,07,헬스케어,1,068270
2019-09-30,01,반도체/IT하드웨어,2,000660 005930
2019-09-30,02,자동차/운송장비,2,005380 012330
2019-09-30,08,인터넷/게임/SW,1,035420
2019-12-30,01,반도체/IT하드웨어,2,000660 005930
2019-12-30,02,자동차/운송장비,1,005380
2019-12-30,07,헬스케어,1,207940
2019-12-30,08,인터넷/게임/SW,1,035420
2020-03-31,01,반도체/IT하드웨어,2,000660 005930
2020-03-31,07,헬스케어,2,068270 207940
2020-03-31,08,인터넷/게임/SW,1,035420
2020-06-30,01,반도체/IT하드웨어,2,000660 005930
2020-06-30,07,헬스케어,2,068270 207940
2020-06-30,08,인터넷/게임/SW,1,035420
2020-09-29,01,반도체/IT하드웨어,2,000660 005930
2020-09-29,03,2차전지/화학/소재,1,051910
2020-09-29,07,헬스케어,1,207940
2020-09-29,08,인터넷/게임/SW,1,035420
2020-12-30,01,반도체/IT하드웨어,2,000660 005930
2020-12-30,03,2차전지/화학/소재,1,051910
2020-12-30,07,헬스케어,2,068270 207940
2021-03-31,01,반도체/IT하드웨어,2,000660 005930
2021-03-31,03,2차전지/화학/소재,1,051910
2021-03-31,07,헬스케어,1,207940
2021-03-31,08,인터넷/게임/SW,1,035420
2021-06-30,01,반도체/IT하드웨어,2,000660 005930
2021-06-30,03,2차전지/화학/소재,1,051910
2021-06-30,08,인터넷/게임/SW,2,035420 035720
2021-09-30,01,반도체/IT하드웨어,2,000660 005930
2021-09-30,03,2차전지/화학/소재,1,051910
2021-09-30,07,헬스케어,1,207940
2021-09-30,08,인터넷/게임/SW,1,035420
2021-12-30,01,반도체/IT하드웨어,2,000660 005930
2021-12-30,07,헬스케어,1,207940
2021-12-30,08,인터넷/게임/SW,2,035420 035720
2023-09-27,01,반도체/IT하드웨어,3,000660 005930 373220
2023-09-27,04,철강금속,1,005490
2023-09-27,07,헬스케어,1,207940
2023-12-28,01,반도체/IT하드웨어,3,000660 005930 373220
2023-12-28,02,자동차/운송장비,1,005380
2023-12-28,07,헬스케어,1,207940
2024-03-29,01,반도체/IT하드웨어,3,000660 005930 373220
2024-03-29,02,자동차/운송장비,1,005380
2024-03-29,07,헬스케어,1,207940
2024-09-30,01,반도체/IT하드웨어,3,000660 005930 373220
2024-09-30,02,자동차/운송장비,1,005380
2024-09-30,07,헬스케어,1,207940
2025-06-30,01,반도체/IT하드웨어,3,000660 005930 373220
2025-06-30,05,조선/기계/산업재,1,034020
2025-06-30,07,헬스케어,1,207940
2025-09-30,01,반도체/IT하드웨어,3,000660 005930 373220
2025-09-30,02,자동차/운송장비,1,012450
2025-09-30,07,헬스케어,1,207940
2025-12-30,01,반도체/IT하드웨어,3,000660 005930 373220
2025-12-30,02,자동차/운송장비,1,005380
2025-12-30,07,헬스케어,1,207940
2026-03-31,01,반도체/IT하드웨어,3,000660 005930 373220
2026-03-31,02,자동차/운송장비,1,005380
2026-03-31,07,헬스케어,1,207940
