scenario,label,date,tax_year,component,original_lot_id,replacement_lot_id,original_buy_date,qty,buy_price_krw,sell_price_krw,unrealized_return,realized_loss_krw,sell_commission_krw,buy_commission_krw,total_tlh_commission_krw,same_etf_immediate_repurchase
T003-B,Year-end TLH: all loss lots,2010-12-31,2010,IEF,11,12,2010-10-01,19.87230587129131,79344.90038108826,75911.85599517822,-0.04326736021371702,-68222.50810652364,3771.3590539840015,3771.3590539840015,7542.718107968003,True
T003-B,Year-end TLH: all loss lots,2012-12-31,2012,SPY,25,29,2012-07-02,1.7610347361919185,122743.543359375,120556.10239776611,-0.017821230361619866,-3852.1595167623186,530.7587099559399,530.7587099559399,1061.5174199118799,True
T003-B,Year-end TLH: all loss lots,2012-12-31,2012,QQQ,26,30,2012-07-02,10.187721468202081,65319.738951873784,61995.359988861084,-0.0508939413469186,-33867.84692992385,1578.978649718591,1578.978649718591,3157.957299437182,True
T003-B,Year-end TLH: all loss lots,2012-12-31,2012,IEF,28,31,2012-10-01,14.614911193283456,90030.81743766785,85586.37469116211,-0.04936579354711301,-64955.13604381418,3127.0931636660425,3127.0931636660425,6254.186327332085,True
T003-B,Year-end TLH: all loss lots,2012-12-31,2012,IEF,24,32,2012-04-02,42.668095572975886,86017.09293937683,85586.37469116211,-0.005007356485742687,-18377.927379850345,9129.519037667573,9129.519037667573,18259.038075335146,True
T003-B,Year-end TLH: all loss lots,2013-12-31,2013,IEF,36,40,2013-04-01,5.294224751913451,90041.2527433777,79769.9584980011,-0.11407320458601711,-54378.54022805899,1055.8002218480653,1055.8002218480653,2111.6004436961307,True
T003-B,Year-end TLH: all loss lots,2013-12-31,2013,IEF,38,41,2013-07-01,23.42961563916761,87739.30280036926,79769.9584980011,-0.0908298111337924,-186718.67390067637,4672.448667901294,4672.448667901294,9344.897335802589,True
T003-B,Year-end TLH: all loss lots,2013-12-31,2013,IEF,31,42,2012-12-31,14.614911193283456,85586.37469116211,79769.9584980011,-0.06795960471686657,-85006.40612622406,2914.5771483504827,2914.5771483504827,5829.1542967009655,True
T003-B,Year-end TLH: all loss lots,2013-12-31,2013,IEF,32,43,2012-12-31,42.668095572975886,85586.37469116211,79769.9584980011,-0.06795960471686657,-248175.40202199874,8509.080532612577,8509.080532612577,17018.161065225155,True
T003-B,Year-end TLH: all loss lots,2013-12-31,2013,IEF,34,44,2013-01-02,8.930017174203158,85201.02545394897,79769.9584980011,-0.06374415010865508,-48499.52119086175,1780.8677484315574,1780.8677484315574,3561.735496863115,True
T003-B,Year-end TLH: all loss lots,2013-12-31,2013,IEF,39,45,2013-10-01,25.65425091693039,82738.7194168091,79769.9584980011,-0.0358811562438186,-76161.33752347711,5116.09632735211,5116.09632735211,10232.19265470422,True
T003-B,Year-end TLH: all loss lots,2017-12-29,2017,IEF,69,75,2017-01-02,20.027164332324613,101751.07502105713,92532.26442565919,-0.09060160389941951,-184626.63474260984,4632.897164236979,4632.897164236979,9265.794328473958,True
T003-B,Year-end TLH: all loss lots,2017-12-29,2017,IEF,62,76,2016-01-04,4.128218097327627,100140.08045822143,92532.26442565919,-0.07597173876584051,-31406.72382676273,954.9834214717791,954.9834214717791,1909.9668429435583,True
T003-B,Year-end TLH: all loss lots,2017-12-29,2017,IEF,74,77,2017-10-02,15.997611282423579,99529.20384475708,92532.26442565919,-0.07030036560938968,-111934.31699339474,3700.7379934103187,3700.7379934103187,7401.475986820637,True
