scenario,label,tax_year,baseline_capital_gains_tax_krw,scenario_capital_gains_tax_krw,capital_gains_tax_reduction_vs_t003_a_krw,tlh_true_up_tax_savings_krw
T003-D,Year-end TLH: loss <= -5%,2022,1790671.2111778099,1716390.6367386023,74280.57443920756,150147.540561105
T003-D,Year-end TLH: loss <= -5%,2023,1138614.7920916055,1283939.0605883615,-145324.26849675598,0.0
T003-D,Year-end TLH: loss <= -5%,2024,3210196.265814355,3237516.916967852,-27320.651153496932,0.0
T003-D,Year-end TLH: loss <= -5%,2025,3515681.346646889,3552731.682717526,-37050.33607063675,0.0
T003-D,Year-end TLH: loss <= -5%,2026,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2010,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2011,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2012,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2013,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2014,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2015,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2016,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2017,745647.736155032,745572.1514713946,75.58468363736756,0.0
T003-E,Year-end TLH: loss <= -10%,2018,1250945.7843916384,1250841.7731878008,104.01120383758098,0.0
T003-E,Year-end TLH: loss <= -10%,2019,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2020,2878754.023181144,2495065.1494750143,383688.87370612985,383494.29446794046
T003-E,Year-end TLH: loss <= -10%,2021,2488136.7618210763,2488284.51047891,-147.74865783378482,0.0
T003-E,Year-end TLH: loss <= -10%,2022,1790671.2111778099,1829412.250923015,-38741.03974520508,15731.088018658571
T003-E,Year-end TLH: loss <= -10%,2023,1138614.7920916055,1143440.4525642733,-4825.660472667776,0.0
T003-E,Year-end TLH: loss <= -10%,2024,3210196.265814355,3236728.4243866834,-26532.158572328277,0.0
T003-E,Year-end TLH: loss <= -10%,2025,3515681.346646889,3553304.5612129094,-37623.214566020295,0.0
T003-E,Year-end TLH: loss <= -10%,2026,0.0,0.0,0.0,0.0
