scenario,event,lot_id,sleeve,buy_date,event_date,qty,qty_open_after_event,buy_price_usd,buy_price_krw,event_price_usd,event_price_krw,realized_gain_krw
T000-B,BUY,1,SPY,2010-01-04,2010-01-04,297.64649904752207,297.64649904752207,84.79635620117188,97431.01327514648,84.79635620117188,97431.01327514648,0.0
T000-B,BUY,2,QQQ,2010-01-04,2010-01-04,453.62159768039385,453.62159768039385,40.290767669677734,46294.09205245972,40.290767669677734,46294.09205245972,0.0
T000-B,BUY,3,H001,2010-01-04,2010-01-04,2000.0,2000.0,,10000.0,,10000.0,0.0
T000-B,BUY,4,IEF,2010-01-04,2010-01-04,424.20994466817365,424.20994466817365,61.548912048339844,70719.69994354248,61.548912048339844,70719.69994354248,0.0
T000-B,SELL,1,SPY,2010-01-04,2010-04-01,5.118252304033116,292.528246743489,84.79635620117188,97431.01327514648,88.50389862060547,99681.94101638794,11520.81609782112
T000-B,SELL,2,QQQ,2010-01-04,2010-04-01,5.597892176430266,448.0237055039636,40.290767669677734,46294.09205245972,41.84566879272461,47130.776761245725,4683.670785452028
T000-B,BUY,5,H001,2010-04-01,2010-04-01,10.790347372146197,10.790347372146197,,10001.139850520784,,10001.139850520784,0.0
T000-B,BUY,6,IEF,2010-04-01,2010-04-01,5.933606959110071,5.933606959110071,62.264434814453125,70128.43293151855,62.264434814453125,70128.43293151855,0.0
T000-B,SELL,4,IEF,2010-01-04,2010-07-01,51.99112013885443,372.21882452931925,61.548912048339844,70719.69994354248,67.2458267211914,82510.62938690186,613023.6292384532
T000-B,BUY,7,SPY,2010-07-01,2010-07-01,24.36012515405175,24.36012515405175,77.57158660888672,95180.336769104,77.57158660888672,95180.336769104,0.0
T000-B,BUY,8,QQQ,2010-07-01,2010-07-01,31.139076676724212,31.139076676724212,37.14900588989258,45581.83022689819,37.14900588989258,45581.83022689819,0.0
T000-B,BUY,9,H001,2010-07-01,2010-07-01,54.46779012172066,54.46779012172066,,10071.895149520262,,10071.895149520262,0.0
T000-B,SELL,1,SPY,2010-01-04,2010-10-01,6.352853141413063,286.1753936020759,84.79635620117188,97431.01327514648,86.9801254272461,98309.2867641449,5579.54249360338
T000-B,SELL,2,QQQ,2010-01-04,2010-10-01,22.69217677156948,425.3315287323941,40.290767669677734,46294.09205245972,42.84891128540039,48429.98198032379,48467.99180770636
T000-B,BUY,10,H001,2010-10-01,2010-10-01,12.366487861980989,12.366487861980989,,10133.762935996112,,10133.762935996112,0.0
T000-B,BUY,11,IEF,2010-10-01,2010-10-01,19.872305871291218,19.872305871291218,70.2011947631836,79344.90038108826,70.2011947631836,79344.90038108826,0.0
T000-B,SELL,1,SPY,2010-01-04,2011-01-03,18.217864227923943,267.957529374152,84.79635620117188,97431.01327514648,96.92816162109375,108976.3321105957,210331.0510123068
T000-B,SELL,2,QQQ,2010-01-04,2011-01-03,33.01560941037126,392.3159193220228,40.290767669677734,46294.09205245972,48.45281982421875,54475.50532836914,270114.34514225146
