scenario,year,SPY_realized_gain_krw,QQQ_realized_gain_krw,IEF_realized_gain_krw,us_etf_net_realized_gain_krw,H001_taxable_realized_gain_krw
T000-B,2010,17100.358591424498,53151.66259315839,613023.6292384532,683275.6504230361,0.0
T000-B,2011,285857.7630788147,297775.816779042,1453940.7815641705,2037574.3614220272,0.0
T000-B,2012,885295.4044564242,1392745.9170933114,530620.9923523602,2808662.313902096,0.0
T000-B,2013,1143909.1366954905,1154486.8718981522,0.0,2298396.0085936426,0.0
T000-B,2014,847155.0989835381,1455944.7221383469,144951.0654368074,2448050.8865586924,0.0
T000-B,2015,1096932.4944784278,1386311.675729027,1146882.313624583,3630126.483832038,0.0
T000-B,2016,988797.4828054872,2568979.000772652,490014.85235455295,4047791.3359326925,0.0
T000-B,2017,3001708.5594235673,3423718.391430339,0.0,6425426.950853907,0.0
T000-B,2018,3340543.9189848127,5361764.818034704,134825.7451483702,8837134.482167887,0.0
T000-B,2019,3559433.8390852544,3839555.6888267407,3616996.040660312,11015985.568572307,0.0
T000-B,2020,5110129.9269635705,12217106.62866268,7535619.1370941745,24862855.692720424,0.0
T000-B,2021,11641988.369551085,8458558.15912598,1398367.998931069,21498914.527608134,0.0
T000-B,2022,8210341.374761964,5622351.396988463,2838104.2890997943,16670797.060850222,0.0
T000-B,2023,4799258.33635132,15753123.34898638,0.0,20552381.6853377,0.0
T000-B,2024,7627597.975852511,8781723.030812295,939626.671408749,17348947.678073555,0.0
T000-B,2025,11313127.450471375,17223989.24264823,3232625.4863008545,31769742.17942046,0.0
T000-C,2010,17100.358591424498,53151.66259315839,613023.6292384532,683275.6504230361,0.0
T000-C,2011,285857.7630788147,297775.816779042,1073001.6614406765,1656635.2412985333,0.0
T000-C,2012,597667.0268545755,979812.2554368125,50369.150563215386,1627848.4328546035,0.0
T000-C,2013,1069842.6938632973,790513.2331179071,0.0,1860355.9269812044,0.0
T000-C,2014,847613.1388852755,1456731.9224730502,-41093.45021222225,2263251.6111461036,0.0
T000-C,2015,699154.4341089476,1387061.2268613917,355815.5462170092,2442031.2071873485,0.0
T000-C,2016,114076.79937428758,914580.3939100575,38124.508204342914,1066781.7014886881,0.0
T000-C,2017,2514389.892744124,3374917.998869646,0.0,5889307.89161377,0.0
T000-C,2018,2907765.8165411893,5362503.310840894,-84151.92560192072,8186117.201780162,0.0
T000-C,2019,740576.7064688042,794916.6064737302,333242.7582752799,1868736.071217814,0.0
T000-C,2020,2223491.6905027376,9684139.699778002,3677614.169633554,15585245.559914293,0.0
T000-C,2021,6531935.983970889,7476549.55943136,-198772.98967006957,13809712.55373218,0.0
T000-C,2022,6884456.849693367,3970365.685317917,-872622.6606833851,9982199.874327898,0.0
T000-C,2023,1895190.638602911,5780331.143631661,0.0,7675521.782234572,0.0
T000-C,2024,7902842.845973924,9215415.878119884,-26457.515846751012,17091801.208247058,0.0
T000-C,2025,8568026.71902375,9266658.980892781,645684.057569358,18480369.75748589,0.0
T000-D,2010,17100.358591424498,53151.66259315839,613023.6292384532,683275.6504230361,0.0
T000-D,2011,285857.7630788147,297775.816779042,1453940.7815641705,2037574.3614220272,0.0
T000-D,2012,885295.4044564242,1392745.9170933114,530620.9923523602,2808662.313902096,0.0
T000-D,2013,1143909.1366954905,1154486.8718981522,0.0,2298396.0085936426,0.0
T000-D,2014,847155.0989835381,1455944.7221383469,144951.0654368074,2448050.8865586924,0.0
T000-D,2015,1096932.4944784278,1386311.675729027,1146882.313624583,3630126.483832038,0.0
T000-D,2016,988797.4828054872,2568979.000772652,490014.85235455295,4047791.3359326925,0.0
T000-D,2017,3001708.5594235673,3423718.391430339,0.0,6425426.950853907,0.0
T000-D,2018,3340543.9189848127,5361764.818034704,134825.7451483702,8837134.482167887,0.0
T000-D,2019,3559433.8390852544,3839555.6888267407,3616996.040660312,11015985.568572307,0.0
T000-D,2020,5110129.9269635705,12217106.62866268,7535619.1370941745,24862855.692720424,0.0
T000-D,2021,11641988.369551085,8458558.15912598,1398367.998931069,21498914.527608134,0.0
T000-D,2022,8210341.374761964,5622351.396988463,2838104.2890997943,16670797.060850222,0.0
T000-D,2023,4799258.33635132,15753123.34898638,0.0,20552381.6853377,0.0
T000-D,2024,7627597.975852511,8781723.030812295,939626.671408749,17348947.678073555,0.0
T000-D,2025,11313127.450471375,17223989.24264823,3232625.4863008545,31769742.17942046,0.0
T000-E,2010,17100.358591424498,53151.66259315839,613023.6292384532,683275.6504230361,0.0
T000-E,2011,285857.7630788147,297775.816779042,1453940.7815641705,2037574.3614220272,0.0
T000-E,2012,885295.4044564242,1392745.9170933114,530620.9923523602,2808662.313902096,0.0
T000-E,2013,1146964.884258177,1160027.2534597544,0.0,2306992.1377179315,0.0
T000-E,2014,847195.4358781246,1456014.0456098244,144957.96708285433,2448167.4485708033,0.0
T000-E,2015,1096984.7234134583,1386377.6830565613,1145099.4216007418,3628461.828070761,0.0
T000-E,2016,992890.8852834709,2536998.2673105467,514398.35995762993,4044287.5125516476,0.0
T000-E,2017,2928351.615708138,3359697.182548475,0.0,6288048.798256613,0.0
T000-E,2018,3306990.6462368146,5345700.559308855,135411.23472739776,8788102.440273067,0.0
T000-E,2019,3550435.5858908514,3856893.2058428116,3553248.766115467,10960577.557849132,0.0
T000-E,2020,4792885.293684762,12032848.210573377,7552107.79609043,24377841.300348572,0.0
T000-E,2021,12374240.73237662,9030893.453853186,1276020.4173410991,22681154.603570905,0.0
T000-E,2022,7481781.281040826,5257765.81432813,3146047.922599762,15885595.017968718,0.0
T000-E,2023,4539343.64941695,15838922.843216151,0.0,20378266.4926331,0.0
