scenario,description,start_date,end_date,cumulative_return,cagr,daily_annualized_volatility,sharpe,max_drawdown,cagr_delta_vs_gross,sharpe_delta_vs_gross,mdd_delta_vs_gross_pp
Gross_I003_5,I003.5 gross reference,2010-01-04,2026-05-18,6.11626972375764,0.12738381267998689,0.10425739723809546,1.1721425677902566,-0.16407731360394917,0.0,0.0,0.0
I005_Scenario_A,I005 reported Scenario A,2010-01-04,2026-05-18,5.403479242566907,0.12013723889446215,0.10414528677666036,1.1129777777333945,-0.16455313481414446,-0.007246573785524735,-0.05916479005686215,-0.0475821210195293
T000-A,I005 reproduction from saved daily NAV,2010-01-04,2026-05-18,5.403479242566907,0.12013723889446215,0.10414528677666036,1.1129777777333945,-0.16455313481414446,-0.007246573785524735,-0.05916479005686215,-0.0475821210195293
T000-B,"FIFO + 250만원 공제, immediate tax, ongoing NAV",2010-01-04,2026-05-18,5.535957555328154,0.12153957413214234,0.10436265234752716,1.1225554552570236,-0.16484391964433875,-0.005844238547844549,-0.049587112533233,-0.07666060403895836
T000-C,"HIFO + 250만원 공제, immediate tax, ongoing NAV",2010-01-04,2026-05-18,5.836622836139118,0.12462572401851557,0.10423016113226591,1.149528466350692,-0.16472953900866494,-0.002758088661471314,-0.02261410143956466,-0.06522254047157672
T000-D,"FIFO + 250만원 공제, terminal liquidation tax 포함",2010-01-04,2026-05-18,4.956559683412428,0.11519669322599424,0.10660127859192091,1.0495102065474438,-0.16484391964433875,-0.012187119453992645,-0.12263236124281285,-0.07666060403895836
T000-E,"FIFO + 250만원 공제, 다음 해 5월 납부",2010-01-04,2026-05-18,5.6121314455949936,0.12233386764199095,0.1042956501587634,1.1298184683934047,-0.16457304374370052,-0.00504994503799594,-0.04232409939685189,-0.049573013975134916
