scenario,year,date,SPY_unrealized_gain_krw,QQQ_unrealized_gain_krw,IEF_unrealized_gain_krw,us_etf_unrealized_gain_krw
T000-B,2010,2010-12-31,186851.94446723952,0.0,0.0,186851.94446723952
T000-B,2011,2011-12-30,792140.22403697,0.0,0.0,792140.22403697
T000-B,2012,2012-12-31,1199512.529311594,-1087.588546711406,0.0,1198424.9407648826
T000-B,2013,2013-12-31,3690554.585260656,195844.00006710936,0.0,3886398.5853277654
T000-B,2014,2014-12-31,5532252.774347063,386358.24977894983,107078.4214033932,6025689.445529406
T000-B,2015,2015-12-31,6766655.46427676,633996.7680695083,317527.09147277486,7718179.323819043
T000-B,2016,2016-12-30,9302043.039391976,1126998.8455082693,539796.6875038784,10968838.572404124
T000-B,2017,2017-12-29,10848407.30205613,1914320.5397259616,-582791.6382054797,12179936.203576611
T000-B,2018,2018-12-31,10768808.033392696,2130869.3152463906,514082.730690276,13413760.079329362
T000-B,2019,2019-12-31,20201970.012645647,6511208.24727829,3596658.874483554,30309837.13440749
T000-B,2020,2020-12-31,27621657.231975462,13418116.664393922,2772961.194794447,43812735.09116383
T000-B,2021,2021-12-31,49649551.4683191,23149687.4976914,7168344.927528226,79967583.89353874
T000-B,2022,2022-12-30,39530590.20698889,12410536.541571528,-1371487.8279666035,50569638.92059382
T000-B,2023,2023-12-29,60007407.2610819,33756257.090578645,3595235.6117248465,97358899.9633854
T000-B,2024,2024-12-31,98875403.57956216,59692801.827962264,18600331.393545885,177168536.8010703
T000-B,2025,2025-12-31,118880367.16349883,76891309.12733547,26971051.892345376,222742728.18317968
T000-B,2026,2026-05-18,137858908.0127652,99291563.10423407,28053791.262971792,265204262.37997106
T000-C,2010,2010-12-31,1838851.9654809174,1010826.5539075804,1956520.174475168,4806198.693863666
T000-C,2011,2011-12-30,2612097.6536910282,1431400.3699772705,7240034.027605227,11283532.051273525
T000-C,2012,2012-12-31,3793560.8208195735,2052709.306324705,5577178.267177445,11423448.394321725
T000-C,2013,2013-12-31,9896837.549978083,4907495.698605863,2897588.475356499,17701921.723940447
T000-C,2014,2014-12-31,14323565.705839435,7430567.347050116,8105746.998010311,29859880.050899863
T000-C,2015,2015-12-31,16877435.06520264,9747657.966715313,12160780.545433441,38785873.57735139
T000-C,2016,2016-12-30,21861237.07126421,11358987.302189827,14155675.94004584,47375900.313499875
T000-C,2017,2017-12-29,24837204.076542642,14415019.916447157,9432728.372478833,48684952.365468636
T000-C,2018,2018-12-31,24631527.81865153,15255565.941570327,12169157.234056404,52056250.99427826
T000-C,2019,2019-12-31,39250012.314211965,24652385.95194968,18713726.022190027,82616124.28835167
T000-C,2020,2020-12-31,45420310.09840887,36745795.08045909,20767774.615089886,102933879.79395786
T000-C,2021,2021-12-31,70402092.60785621,53591850.037764065,25597004.96607494,149590947.61169523
T000-C,2022,2022-12-30,58996533.27110261,36608672.56854503,16274515.302519824,111879721.14216746
T000-C,2023,2023-12-29,80850916.04241562,61573351.717366345,21712937.0785201,164137204.83830205
T000-C,2024,2024-12-31,122333733.75056444,91126553.49903622,37810286.44312608,251270573.69272673
T000-C,2025,2025-12-31,143129140.40797928,108651926.17066851,46550300.1709273,298331366.7495751
T000-C,2026,2026-05-18,162980647.94525668,132082695.2263028,47682891.12524913,342746234.2968086
T000-D,2010,2010-12-31,186851.94446723952,0.0,0.0,186851.94446723952
T000-D,2011,2011-12-30,792140.22403697,0.0,0.0,792140.22403697
T000-D,2012,2012-12-31,1199512.529311594,-1087.588546711406,0.0,1198424.9407648826
T000-D,2013,2013-12-31,3690554.585260656,195844.00006710936,0.0,3886398.5853277654
T000-D,2014,2014-12-31,5532252.774347063,386358.24977894983,107078.4214033932,6025689.445529406
T000-D,2015,2015-12-31,6766655.46427676,633996.7680695083,317527.09147277486,7718179.323819043
T000-D,2016,2016-12-30,9302043.039391976,1126998.8455082693,539796.6875038784,10968838.572404124
T000-D,2017,2017-12-29,10848407.30205613,1914320.5397259616,-582791.6382054797,12179936.203576611
T000-D,2018,2018-12-31,10768808.033392696,2130869.3152463906,514082.730690276,13413760.079329362
T000-D,2019,2019-12-31,20201970.012645647,6511208.24727829,3596658.874483554,30309837.13440749
T000-D,2020,2020-12-31,27621657.231975462,13418116.664393922,2772961.194794447,43812735.09116383
T000-D,2021,2021-12-31,49649551.4683191,23149687.4976914,7168344.927528226,79967583.89353874
T000-D,2022,2022-12-30,39530590.20698889,12410536.541571528,-1371487.8279666035,50569638.92059382
T000-D,2023,2023-12-29,60007407.2610819,33756257.090578645,3595235.6117248465,97358899.9633854
T000-D,2024,2024-12-31,98875403.57956216,59692801.827962264,18600331.393545885,177168536.8010703
T000-D,2025,2025-12-31,118880367.16349883,76891309.12733547,26971051.892345376,222742728.18317968
T000-D,2026,2026-05-18,137858908.0127652,99291563.10423407,28053791.262971792,265204262.37997106
T000-E,2010,2010-12-31,203681.4417011831,0.0,0.0,203681.4417011831
T000-E,2011,2011-12-30,815028.3481571132,0.0,0.0,815028.3481571132
T000-E,2012,2012-12-31,1231657.7946205733,0.0,0.0,1231657.7946205733
T000-E,2013,2013-12-31,3770520.972690331,182977.9674527974,0.0,3953498.9401431284
T000-E,2014,2014-12-31,5646905.65391449,360575.6920784322,147623.72689732045,6155105.072890243
T000-E,2015,2015-12-31,6901674.768467133,596737.3154339759,389976.0754768002,7888388.159377909
T000-E,2016,2016-12-30,9477913.997404575,1074188.597921514,629229.8597065512,11181332.45503264
T000-E,2017,2017-12-29,11050316.714005576,1836707.2162324875,-549818.6888089584,12337205.241429105
T000-E,2018,2018-12-31,10969064.245113371,2046434.0335162939,588032.1141701633,13603530.392799828
T000-E,2019,2019-12-31,20608212.134236798,6423552.941498251,3759589.6856726124,30791354.76140766
T000-E,2020,2020-12-31,28193820.909379587,13395921.155524656,2914375.316537253,44504117.3814415
T000-E,2021,2021-12-31,50866194.47187043,23322229.360110722,7395587.8732519,81584011.70523305
T000-E,2022,2022-12-30,40473038.18923246,12372623.981377589,-1358791.5983064438,51486870.5723036
T000-E,2023,2023-12-29,61222345.3091757,33907234.678703986,3754243.141616314,98883823.12949601
T000-E,2024,2024-12-31,100607567.66177596,60126820.42645,19113039.68426051,179847427.77248648
T000-E,2025,2025-12-31,121053994.35962069,77721670.26591177,27613056.53029816,226388721.15583062
T000-E,2026,2026-05-18,140442893.7656631,100607085.92661984,28719456.876140624,269769436.5684235
