bootstrap,mean,ci_p05,ci_p50,ci_p95
trade_level,0.10016527582786788,0.07774704972485193,0.0988603760260053,0.12557135544418835
date_cluster,0.10016527582786788,0.07077760489607336,0.09805488174878353,0.13550293153244555
stock_cluster,0.10016527582786788,0.07151626956866115,0.09778285636681147,0.13314266698515392
