signal,count,mean,median,p1,p5,p25,p75,p95,p99,min,max
r1d_lt_m3_hold1,606,0.029961185073141473,0.030691712868398,-0.22933333333333325,-0.11493701452212085,-0.023132715155027503,0.0837364867072546,0.1985905373831775,0.22982060340381635,-0.2976666666666666,0.3103133640552995
r1d_lt_m3_hold3,530,0.12469092749329105,0.07404815417125149,-0.5495242718446602,-0.30271133875947237,-0.04706998441998945,0.2094068602261047,0.5290843302990889,1.1385719864344832,-0.6551228070175439,13.910137339055794
r1d_lt_m3_hold5,486,0.16095762894451382,0.10499513163949906,-0.6757271893626777,-0.4374523267035558,-0.0646288052957032,0.30048866473584335,0.6427806298706515,1.7844763671702282,-0.8931232876712328,12.487390557939914
