year,trades,net,annualized,max_DD,sharpe
2010,0,0.0,0.0,0.0,
2011,0,0.0,0.0,0.0,
2012,0,0.0,0.0,0.0,
2013,0,0.0,0.0,0.0,
2014,0,0.0,0.0,0.0,
2015,0,0.0,0.0,0.0,
2017,10,0.08694972818615154,0.09031139083171458,-0.11414151309377185,0.7747011247454959
2018,5,-0.03837054964691555,-0.03960335873075016,-0.08104270678396785,-0.38180998201728317
2019,10,0.023813278372236235,0.024401120001113163,-0.12201586454499347,0.18910653310243217
2020,20,0.4487840713600795,0.4574729249786811,-0.3391198093849982,1.4807069434913225
2021,20,-0.13279310520763232,-0.13478368232146298,-0.2577362013055232,-0.618038250311758
2022,5,-0.09957773252533042,-0.1018783637005869,-0.180766449270375,-0.7851921327669175
2023,5,0.08162955515881776,0.08405725041943568,-0.10672216364212284,0.5482634406996123
2024,15,0.0352134005405762,0.03638869804009093,-0.12973409983021011,0.19448549718165994
2025,10,0.5613947061976183,0.5904099907885074,-0.11719205124676468,2.5344550563009944
2026,10,0.5528451233471785,2.866957630012222,-0.22962133737302215,5.081883158680763
