rcept_no,body_inspectable,n_tables,n_candidate_tables,label_cell_found,n_label_cells,label_text_matched,value_cell_content_class,value_cell_text_sample,value_cell_with_date_found,n_distinct_candidate_dates,any_date_in_body,structure_class
20130308801153,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20130222800147,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20130205800450,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20130125800113,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20130605800237,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20130529800380,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20130930800008,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20130930800006,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20131114801425,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140326800718,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140324800007,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140321802886,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140320800864,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140313802028,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140313802027,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140228800018,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140210800006,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140206800002,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140205800195,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140616800164,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
