rcept_no,prior_parse_status,prior_taxonomy_class,prior_feasibility_bucket,body_format,body_locally_available,provenance
20110506800018,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20110415800136,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20110412800404,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20110919800008,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20111024800402,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20111020800078,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120329801417,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120323800032,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120302800660,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120229800348,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120217800440,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120626800294,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120430800686,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
