ticker,date,return,flag
000040,2018-01-12,0.9538461538461538,ABS_DAILY_RETURN_GT_50PCT
000040,2020-02-19,2.7,ABS_DAILY_RETURN_GT_50PCT
000040,2024-03-18,2.0817204301075267,ABS_DAILY_RETURN_GT_50PCT
000050,2016-10-28,-0.9081534772182254,ABS_DAILY_RETURN_GT_50PCT
000100,2020-04-08,-0.7926503340757238,ABS_DAILY_RETURN_GT_50PCT
000180,2016-05-11,-0.9002766251728908,ABS_DAILY_RETURN_GT_50PCT
000230,2011-05-12,-0.8058608058608059,ABS_DAILY_RETURN_GT_50PCT
000230,2019-01-02,-0.5038759689922481,ABS_DAILY_RETURN_GT_50PCT
000240,2012-10-04,-0.546875,ABS_DAILY_RETURN_GT_50PCT
000300,2024-10-25,7.232365145228215,ABS_DAILY_RETURN_GT_50PCT
000360,2013-01-25,1.300578034682081,ABS_DAILY_RETURN_GT_50PCT
000370,2020-01-02,-0.6566339066339066,ABS_DAILY_RETURN_GT_50PCT
000420,2013-03-25,-0.914622641509434,ABS_DAILY_RETURN_GT_50PCT
000420,2015-02-10,-0.8648648648648649,ABS_DAILY_RETURN_GT_50PCT
000480,2023-04-13,-0.9123505976095617,ABS_DAILY_RETURN_GT_50PCT
000490,2010-05-17,-0.8299651567944251,ABS_DAILY_RETURN_GT_50PCT
000520,2021-04-12,-0.5010050251256282,ABS_DAILY_RETURN_GT_50PCT
000650,2025-01-02,-0.6182682154171066,ABS_DAILY_RETURN_GT_50PCT
000670,2025-04-25,-0.8993197278911564,ABS_DAILY_RETURN_GT_50PCT
000800,2015-04-06,-0.8866425992779783,ABS_DAILY_RETURN_GT_50PCT
000800,2015-04-08,0.948051948051948,ABS_DAILY_RETURN_GT_50PCT
000890,2012-01-05,-0.8940298507462686,ABS_DAILY_RETURN_GT_50PCT
001020,2011-05-19,-0.9005979073243647,ABS_DAILY_RETURN_GT_50PCT
001020,2017-09-27,6.764900662251655,ABS_DAILY_RETURN_GT_50PCT
001020,2020-03-24,1.327188940092166,ABS_DAILY_RETURN_GT_50PCT
