sleeve,path,sha256,byte_identical_to_baseline,metric_top_level_keys
D013,reports/experiments/D013_d009_threshold_minus_0p2/metrics.json,ba8cf9ff9ea8473c4f899fd11d7b3ab41b60a8eb449435be4d15013d0e380da1,True,4
H001,reports/experiments/H001_kr_short_rate_sleeve/metrics.json,2763638d7b75608d94f6933220e7f4cae88ced39d543797d38774db27614432e,True,2
