candidate,method,method_name,sleeve,sleeve_type,q_weight,weights,start_date,end_date,gross_cagr,net_cagr,net_sharpe,net_mdd,gross_sharpe,gross_mdd,cost_drag_cagr,total_cost,commission_cost,capital_gains_tax,fx_spread_cost,dividend_withholding,delta_net_cagr_vs_baseline,delta_net_sharpe_vs_baseline,delta_net_mdd_vs_baseline,excess_net_cagr_vs_baseline
Q008-A-Q006-20,Method A,SPY_replacement_primary,Q006,direct_q_diagnostic,0.2,H001:0.20;IEF:0.30;Q006:0.20;QQQ:0.21;SPY:0.09,2010-01-04,2026-05-18,0.131487973247169,0.12517860044508944,1.2192452448546405,-0.16098967190454339,1.275379439082562,-0.16006377177795872,-0.006309372802079549,0.33566581543190027,0.023315627321984327,0.20380796597866727,0.007223189410955796,0.10131903272029288,0.0033873138074325126,0.09374547698301305,0.0037676785136629976,0.0033873138074325126
Q008-B-Q006-20,Method B,US_equity_pro_rata_secondary,Q006,direct_q_diagnostic,0.2,H001:0.20;IEF:0.30;Q006:0.20;QQQ:0.13;SPY:0.17,2010-01-04,2026-05-18,0.12714450102249097,0.1211214442395494,1.208997103075084,-0.16450841594667664,1.2641902004407526,-0.1636056382633857,-0.0060230567829415715,0.30895684026102416,0.021905436378410605,0.1783152771498464,0.006768559487429944,0.10196756724533718,-0.000669842398107523,0.08349733520345648,0.00024893447152973813,-0.000669842398107523
Q008-A-Q002-20,Method A,SPY_replacement_primary,Q002,direct_q_diagnostic,0.2,H001:0.20;IEF:0.30;Q002:0.20;QQQ:0.21;SPY:0.09,2010-01-04,2026-05-18,0.13245367053203916,0.12608124506957874,1.1969169403185593,-0.16662515190274718,1.2519752573666472,-0.16027482119132996,-0.006372425462460418,0.3389633430992848,0.023509759908283127,0.20624011612051404,0.007260881713268363,0.10195258535721927,0.004289958431921814,0.07141717244693191,-0.0018678014845407986,0.004289958431921814
Q008-B-Q002-20,Method B,US_equity_pro_rata_secondary,Q002,direct_q_diagnostic,0.2,H001:0.20;IEF:0.30;Q002:0.20;QQQ:0.13;SPY:0.17,2010-01-04,2026-05-18,0.1281500669893445,0.12203702345777989,1.189042640775091,-0.16412583413165804,1.2435537020739567,-0.16321346773544188,-0.00611304353156461,0.31309832807223964,0.022140992726144833,0.18151802163989111,0.006829828577857284,0.10260948512834647,0.00024573682012296594,0.0635428729034635,0.0006315162865483392,0.00024573682012296594
Q008-A-Q006-10,Method A,SPY_replacement_primary,Q006,direct_q_diagnostic,0.1,H001:0.20;IEF:0.30;Q006:0.10;QQQ:0.21;SPY:0.19,2010-01-04,2026-05-18,0.12949346318414134,0.1235345048259393,1.1753228357905305,-0.16287974080581336,1.2267741777397507,-0.1620753828180339,-0.005958958358202038,0.3141637951860529,0.022188266272657124,0.18809510862369416,0.006775131437623805,0.09710528885207786,0.0017432181882823805,0.04982306791890312,0.0018776096123930275,0.0017432181882823805
Q008-C-Q006-15,Method C,QQQ_replacement_diagnostic,Q006,direct_q_diagnostic,0.15,H001:0.20;IEF:0.30;Q006:0.15;QQQ:0.06;SPY:0.29,2010-01-04,2026-05-18,0.12273451191424956,0.11711198416653934,1.1748452931147844,-0.1682290626580234,1.226632327656894,-0.16741917238225812,-0.005622527747710215,0.2797300216732994,0.02035997038152058,0.1528708253655893,0.006231846050605352,0.1002673798755841,-0.004679302471117586,0.04934552524315694,-0.0034717122398170153,-0.004679302471117586
Q008-B-Q006-10,Method B,US_equity_pro_rata_secondary,Q006,direct_q_diagnostic,0.1,H001:0.20;IEF:0.30;Q006:0.10;QQQ:0.17;SPY:0.23,2010-01-04,2026-05-18,0.1273333262180949,0.12151488287698031,1.1700074680411825,-0.16463186713201472,1.220976993770646,-0.16384258786372863,-0.0058184433411145875,0.30143553858130995,0.02150293700982499,0.17590202703183144,0.006558136916403877,0.09747243762324967,-0.00027640376067661343,0.044507700169555076,0.00012548328619166327,-0.00027640376067661343
Q008-A-Q002-10,Method A,SPY_replacement_primary,Q002,direct_q_diagnostic,0.1,H001:0.20;IEF:0.30;Q002:0.10;QQQ:0.21;SPY:0.19,2010-01-04,2026-05-18,0.12998006711039212,0.12400403674087324,1.1653439796451044,-0.1626954747007907,1.2162297604652563,-0.1618830866479165,-0.005976030369518881,0.31464481762315794,0.022296997397207183,0.18813436493153468,0.006795183202246793,0.09741827209216927,0.00221275010321631,0.03984421177347697,0.002061875717415673,0.00221275010321631
Q008-C-Q002-15,Method C,QQQ_replacement_diagnostic,Q002,direct_q_diagnostic,0.15,H001:0.20;IEF:0.30;Q002:0.15;QQQ:0.06;SPY:0.29,2010-01-04,2026-05-18,0.1235148806397659,0.11782657596490154,1.1624309693036237,-0.16793133814510286,1.2138763414291358,-0.1671136026840504,-0.005688304674864364,0.2823677329363268,0.020551836369020703,0.15476759815087138,0.006287427682825574,0.10076087073360916,-0.003964710672755389,0.03693120143199624,-0.0031739877268964767,-0.003964710672755389
Q008-B-Q002-10,Method B,US_equity_pro_rata_secondary,Q002,direct_q_diagnostic,0.1,H001:0.20;IEF:0.30;Q002:0.10;QQQ:0.17;SPY:0.23,2010-01-04,2026-05-18,0.12782991448696057,0.12199037420167969,1.1606250071851503,-0.1644436148782189,1.2110871137354502,-0.16364663823967285,-0.005839540285280886,0.30211514482880014,0.02162286336004455,0.17611634236081256,0.0065843028795285535,0.09779163622841455,0.00019908756402275962,0.03512523931352285,0.0003137355399874808,0.00019908756402275962
