candidate,method,sleeve,sleeve_type,q_weight,stress_window,measurement_type,total_return,baseline_total_return,delta_return,delta_return_pp,daily_max_drawdown,baseline_daily_max_drawdown,delta_mdd,delta_mdd_pp
P08_IEF30_BASELINE,baseline,baseline,baseline,0.0,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
P08_IEF30_BASELINE,baseline,baseline,baseline,0.0,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
P08_IEF30_BASELINE,baseline,baseline,baseline,0.0,covid_2020_02_2020_03,exact_net_2010_2026,-0.07585940848689066,-0.07585940848689066,0.0,0.0,-0.16475735041820638,-0.16475735041820638,0.0,0.0
P08_IEF30_BASELINE,baseline,baseline,baseline,0.0,rate_shock_2022,exact_net_2010_2026,-0.14961585619891582,-0.14961585619891582,0.0,0.0,-0.15318811081382866,-0.15318811081382866,0.0,0.0
Q008-A-SCHD-10,Method A,SCHD,etf_proxy,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-SCHD-10,Method A,SCHD,etf_proxy,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-SCHD-10,Method A,SCHD,etf_proxy,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.07607508319912781,-0.07585940848689066,-0.00021567471223715717,-0.021567471223715717,-0.1625886559534766,-0.16475735041820638,0.0021686944647297812,0.21686944647297812
Q008-A-SCHD-10,Method A,SCHD,etf_proxy,0.1,rate_shock_2022,exact_net_2010_2026,-0.13532995106059165,-0.14961585619891582,0.014285905138324173,1.4285905138324173,-0.1382718074709104,-0.15318811081382866,0.014916303342918269,1.491630334291827
Q008-A-SCHD-20,Method A,SCHD,etf_proxy,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-SCHD-20,Method A,SCHD,etf_proxy,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-SCHD-20,Method A,SCHD,etf_proxy,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.0762942944640016,-0.07585940848689066,-0.0004348859771109437,-0.04348859771109437,-0.16041569636716568,-0.16475735041820638,0.0043416540510407,0.43416540510407
Q008-A-SCHD-20,Method A,SCHD,etf_proxy,0.2,rate_shock_2022,exact_net_2010_2026,-0.12108746018030703,-0.14961585619891582,0.028528396018608793,2.8528396018608793,-0.12338519793061264,-0.15318811081382866,0.029802912883216015,2.9802912883216015
Q008-A-COWZ-10,Method A,COWZ,etf_proxy,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-COWZ-10,Method A,COWZ,etf_proxy,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-COWZ-10,Method A,COWZ,etf_proxy,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.07936663161390511,-0.07585940848689066,-0.0035072231270144583,-0.3507223127014458,-0.16863271148851888,-0.16475735041820638,-0.0038753610703124997,-0.38753610703124997
Q008-A-COWZ-10,Method A,COWZ,etf_proxy,0.1,rate_shock_2022,exact_net_2010_2026,-0.13263051645672042,-0.14961585619891582,0.016985339742195404,1.6985339742195404,-0.13616000185839572,-0.15318811081382866,0.01702810895543294,1.7028108955432941
Q008-A-COWZ-20,Method A,COWZ,etf_proxy,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-COWZ-20,Method A,COWZ,etf_proxy,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-COWZ-20,Method A,COWZ,etf_proxy,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.08288832737048046,-0.07585940848689066,-0.0070289188835898075,-0.7028918883589808,-0.1725028808726049,-0.16475735041820638,-0.007745530454398519,-0.7745530454398519
Q008-A-COWZ-20,Method A,COWZ,etf_proxy,0.2,rate_shock_2022,exact_net_2010_2026,-0.11560660225090236,-0.14961585619891582,0.03400925394801346,3.4009253948013463,-0.11909079612985318,-0.15318811081382866,0.03409731468397548,3.4097314683975477
Q008-A-MTUM-10,Method A,MTUM,etf_proxy,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-MTUM-10,Method A,MTUM,etf_proxy,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-MTUM-10,Method A,MTUM,etf_proxy,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.07492379402210159,-0.07585940848689066,0.0009356144647890696,0.09356144647890696,-0.16338721277075885,-0.16475735041820638,0.0013701376474475335,0.13701376474475335
Q008-A-MTUM-10,Method A,MTUM,etf_proxy,0.1,rate_shock_2022,exact_net_2010_2026,-0.1485651060315324,-0.14961585619891582,0.0010507501673834296,0.10507501673834296,-0.15129758154839268,-0.15318811081382866,0.0018905292654359807,0.18905292654359807
Q008-A-MTUM-20,Method A,MTUM,etf_proxy,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-MTUM-20,Method A,MTUM,etf_proxy,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-MTUM-20,Method A,MTUM,etf_proxy,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.07398482542429108,-0.07585940848689066,0.0018745830625995774,0.18745830625995774,-0.16200416731838352,-0.16475735041820638,0.0027531830998228646,0.27531830998228646
Q008-A-MTUM-20,Method A,MTUM,etf_proxy,0.2,rate_shock_2022,exact_net_2010_2026,-0.14758329633060352,-0.14961585619891582,0.0020325598683123003,0.20325598683123003,-0.14948039718962325,-0.15318811081382866,0.003707713624205411,0.3707713624205411
Q008-A-Q002-10,Method A,Q002,direct_q_diagnostic,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-Q002-10,Method A,Q002,direct_q_diagnostic,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-Q002-10,Method A,Q002,direct_q_diagnostic,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.06914434834224059,-0.07585940848689066,0.006715060144650065,0.6715060144650065,-0.1626954747007907,-0.16475735041820638,0.002061875717415673,0.20618757174156732
Q008-A-Q002-10,Method A,Q002,direct_q_diagnostic,0.1,rate_shock_2022,exact_net_2010_2026,-0.1518733710846203,-0.14961585619891582,-0.0022575148857044702,-0.22575148857044702,-0.15638394638627662,-0.15318811081382866,-0.003195835572447958,-0.3195835572447958
Q008-A-Q002-20,Method A,Q002,direct_q_diagnostic,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-Q002-20,Method A,Q002,direct_q_diagnostic,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-Q002-20,Method A,Q002,direct_q_diagnostic,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.062385773317955806,-0.07585940848689066,0.01347363516893485,1.347363516893485,-0.16074553578043638,-0.16475735041820638,0.004011814637770006,0.4011814637770006
Q008-A-Q002-20,Method A,Q002,direct_q_diagnostic,0.2,rate_shock_2022,exact_net_2010_2026,-0.15451546386175208,-0.14961585619891582,-0.004899607662836258,-0.48996076628362584,-0.15992336207597946,-0.15318811081382866,-0.006735251262150799,-0.6735251262150799
Q008-A-Q006-10,Method A,Q006,direct_q_diagnostic,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-Q006-10,Method A,Q006,direct_q_diagnostic,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-Q006-10,Method A,Q006,direct_q_diagnostic,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.0699983392915291,-0.07585940848689066,0.005861069195361557,0.5861069195361557,-0.16287974080581336,-0.16475735041820638,0.0018776096123930275,0.18776096123930275
Q008-A-Q006-10,Method A,Q006,direct_q_diagnostic,0.1,rate_shock_2022,exact_net_2010_2026,-0.14640998591225596,-0.14961585619891582,0.003205870286659862,0.3205870286659862,-0.1511929797936803,-0.15318811081382866,0.0019951310201483663,0.19951310201483663
Q008-A-Q006-20,Method A,Q006,direct_q_diagnostic,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.284136674326545,0.284136674326545,0.0,0.0,-0.10890239353547282,-0.10890239353547282,0.0,0.0
Q008-A-Q006-20,Method A,Q006,direct_q_diagnostic,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.19948106505096974,0.19948106505096974,0.0,0.0,-0.16916305005760357,-0.16916305005760357,0.0,0.0
Q008-A-Q006-20,Method A,Q006,direct_q_diagnostic,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.064094403811228,-0.07585940848689066,0.01176500467566266,1.176500467566266,-0.16098967190454339,-0.16475735041820638,0.0037676785136629976,0.37676785136629976
Q008-A-Q006-20,Method A,Q006,direct_q_diagnostic,0.2,rate_shock_2022,exact_net_2010_2026,-0.14364937214437812,-0.14961585619891582,0.005966484054537702,0.5966484054537702,-0.149602721484287,-0.15318811081382866,0.003585389329541666,0.3585389329541666
Q008-B-SCHD-10,Method B,SCHD,etf_proxy,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.2713947751493544,0.284136674326545,-0.012741899177190597,-1.2741899177190597,-0.10691078694444178,-0.10890239353547282,0.0019916065910310365,0.19916065910310365
Q008-B-SCHD-10,Method B,SCHD,etf_proxy,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.1905092383203828,0.19948106505096974,-0.00897182673058694,-0.897182673058694,-0.1700865195348542,-0.16916305005760357,-0.000923469477250638,-0.0923469477250638
Q008-B-SCHD-10,Method B,SCHD,etf_proxy,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.0784658479985354,-0.07585940848689066,-0.0026064395116447425,-0.26064395116447425,-0.16433741075439734,-0.16475735041820638,0.0004199396638090436,0.04199396638090436
Q008-B-SCHD-10,Method B,SCHD,etf_proxy,0.1,rate_shock_2022,exact_net_2010_2026,-0.12858285404073377,-0.14961585619891582,0.021033002158182046,2.1033002158182046,-0.1312722724243638,-0.15318811081382866,0.02191583838946487,2.191583838946487
Q008-B-SCHD-20,Method B,SCHD,etf_proxy,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.25871339454266695,0.284136674326545,-0.02542327978387804,-2.542327978387804,-0.10486044094196934,-0.10890239353547282,0.004041952593503484,0.4041952593503484
Q008-B-SCHD-20,Method B,SCHD,etf_proxy,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.18150429797358925,0.19948106505096974,-0.017976767077380496,-1.7976767077380496,-0.17100910414073867,-0.16916305005760357,-0.0018460540831350958,-0.18460540831350958
Q008-B-SCHD-20,Method B,SCHD,etf_proxy,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.08108820557916752,-0.07585940848689066,-0.00522879709227686,-0.522879709227686,-0.16392114636563204,-0.16475735041820638,0.0008362040525743408,0.08362040525743408
Q008-B-SCHD-20,Method B,SCHD,etf_proxy,0.2,rate_shock_2022,exact_net_2010_2026,-0.10726081064827564,-0.14961585619891582,0.04235504555064018,4.2355045550640185,-0.10908784981710684,-0.15318811081382866,0.04410026099672182,4.410026099672182
Q008-B-COWZ-10,Method B,COWZ,etf_proxy,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.2713947751493544,0.284136674326545,-0.012741899177190597,-1.2741899177190597,-0.10691078694444178,-0.10890239353547282,0.0019916065910310365,0.19916065910310365
Q008-B-COWZ-10,Method B,COWZ,etf_proxy,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.1905092383203828,0.19948106505096974,-0.00897182673058694,-0.897182673058694,-0.1700865195348542,-0.16916305005760357,-0.000923469477250638,-0.0923469477250638
Q008-B-COWZ-10,Method B,COWZ,etf_proxy,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.08176633123020027,-0.07585940848689066,-0.005906922743309617,-0.5906922743309617,-0.1703890684587236,-0.16475735041820638,-0.0056317180405172085,-0.5631718040517208
Q008-B-COWZ-10,Method B,COWZ,etf_proxy,0.1,rate_shock_2022,exact_net_2010_2026,-0.12580906168134165,-0.14961585619891582,0.02380679451757417,2.380679451757417,-0.12908766781298564,-0.15318811081382866,0.02410044300084302,2.410044300084302
Q008-B-COWZ-20,Method B,COWZ,etf_proxy,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.25871339454266695,0.284136674326545,-0.02542327978387804,-2.542327978387804,-0.10486044094196934,-0.10890239353547282,0.004041952593503484,0.4041952593503484
Q008-B-COWZ-20,Method B,COWZ,etf_proxy,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.18150429797358925,0.19948106505096974,-0.017976767077380496,-1.7976767077380496,-0.17100910414073867,-0.16916305005760357,-0.0018460540831350958,-0.18460540831350958
Q008-B-COWZ-20,Method B,COWZ,etf_proxy,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.08771345806688358,-0.07585940848689066,-0.01185404957999292,-1.185404957999292,-0.17603219505725443,-0.16475735041820638,-0.011274844639048043,-1.1274844639048043
Q008-B-COWZ-20,Method B,COWZ,etf_proxy,0.2,rate_shock_2022,exact_net_2010_2026,-0.10141101843884204,-0.14961585619891582,0.04820483776007378,4.820483776007379,-0.10730552072150568,-0.15318811081382866,0.04588259009232298,4.588259009232298
Q008-B-MTUM-10,Method B,MTUM,etf_proxy,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.2713947751493544,0.284136674326545,-0.012741899177190597,-1.2741899177190597,-0.10691078694444178,-0.10890239353547282,0.0019916065910310365,0.19916065910310365
Q008-B-MTUM-10,Method B,MTUM,etf_proxy,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.1905092383203828,0.19948106505096974,-0.00897182673058694,-0.897182673058694,-0.1700865195348542,-0.16916305005760357,-0.000923469477250638,-0.0923469477250638
Q008-B-MTUM-10,Method B,MTUM,etf_proxy,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.077296962413824,-0.07585940848689066,-0.0014375539269333437,-0.14375539269333437,-0.16512032022840817,-0.16475735041820638,-0.0003629698102017853,-0.03629698102017853
Q008-B-MTUM-10,Method B,MTUM,etf_proxy,0.1,rate_shock_2022,exact_net_2010_2026,-0.14197505811970457,-0.14961585619891582,0.007640798079211253,0.7640798079211253,-0.14445723731956617,-0.15318811081382866,0.008730873494262492,0.8730873494262492
Q008-B-MTUM-20,Method B,MTUM,etf_proxy,0.2,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.25871339454266695,0.284136674326545,-0.02542327978387804,-2.542327978387804,-0.10486044094196934,-0.10890239353547282,0.004041952593503484,0.4041952593503484
Q008-B-MTUM-20,Method B,MTUM,etf_proxy,0.2,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.18150429797358925,0.19948106505096974,-0.017976767077380496,-1.7976767077380496,-0.17100910414073867,-0.16916305005760357,-0.0018460540831350958,-0.18460540831350958
Q008-B-MTUM-20,Method B,MTUM,etf_proxy,0.2,covid_2020_02_2020_03,exact_net_2010_2026,-0.07870751102663842,-0.07585940848689066,-0.0028481025397477655,-0.28481025397477655,-0.1654467980667398,-0.16475735041820638,-0.0006894476485334033,-0.06894476485334033
Q008-B-MTUM-20,Method B,MTUM,etf_proxy,0.2,rate_shock_2022,exact_net_2010_2026,-0.13430004624689773,-0.14961585619891582,0.015315809952018089,1.531580995201809,-0.13986870975053678,-0.15318811081382866,0.01331940106329188,1.331940106329188
Q008-B-Q002-10,Method B,Q002,direct_q_diagnostic,0.1,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_h001_sleeve_as_spy,0.2713947751493544,0.284136674326545,-0.012741899177190597,-1.2741899177190597,-0.10691078694444178,-0.10890239353547282,0.0019916065910310365,0.19916065910310365
Q008-B-Q002-10,Method B,Q002,direct_q_diagnostic,0.1,gfc_proxy_2008_2009,proxy_rescaled_missing_h001_sleeve_as_spy,0.1905092383203828,0.19948106505096974,-0.00897182673058694,-0.897182673058694,-0.1700865195348542,-0.16916305005760357,-0.000923469477250638,-0.0923469477250638
Q008-B-Q002-10,Method B,Q002,direct_q_diagnostic,0.1,covid_2020_02_2020_03,exact_net_2010_2026,-0.0715324051682219,-0.07585940848689066,0.004327003318668754,0.4327003318668754,-0.1644436148782189,-0.16475735041820638,0.0003137355399874808,0.03137355399874808
Q008-B-Q002-10,Method B,Q002,direct_q_diagnostic,0.1,rate_shock_2022,exact_net_2010_2026,-0.1453480075738346,-0.14961585619891582,0.0042678486250812275,0.42678486250812275,-0.1496215801555345,-0.15318811081382866,0.0035665306582941536,0.35665306582941536
