candidate,method,sleeve,sleeve_type,q_weight,baseline_net_cagr,net_cagr,baseline_net_sharpe,net_sharpe,baseline_net_mdd,net_mdd,delta_net_cagr_vs_baseline,delta_net_sharpe_vs_baseline,delta_net_mdd_vs_baseline
Q008-A-COWZ-10,Method A,COWZ,etf_proxy,0.1,0.12179128663765693,0.12052893543497567,1.1254997678716274,1.1262657967800067,-0.16475735041820638,-0.16863271148851888,-0.0012623512026812556,0.0007660289083792904,-0.0038753610703124997
Q008-A-COWZ-20,Method A,COWZ,etf_proxy,0.2,0.12179128663765693,0.11925763701738057,1.1254997678716274,1.121212127150648,-0.16475735041820638,-0.1725028808726049,-0.002533649620276357,-0.004287640720979313,-0.007745530454398519
Q008-A-MTUM-10,Method A,MTUM,etf_proxy,0.1,0.12179128663765693,0.12277282703671655,1.1254997678716274,1.122425737753103,-0.16475735041820638,-0.16338721277075885,0.0009815403990596216,-0.0030740301185243624,0.0013701376474475335
Q008-A-MTUM-20,Method A,MTUM,etf_proxy,0.2,0.12179128663765693,0.12372371157348505,1.1254997678716274,1.1140713961797417,-0.16475735041820638,-0.16200416731838352,0.0019324249358281254,-0.011428371691885708,0.0027531830998228646
Q008-A-Q002-10,Method A,Q002,direct_q_diagnostic,0.1,0.12179128663765693,0.12400403674087324,1.1254997678716274,1.1653439796451044,-0.16475735041820638,-0.1626954747007907,0.00221275010321631,0.03984421177347697,0.002061875717415673
Q008-A-Q002-20,Method A,Q002,direct_q_diagnostic,0.2,0.12179128663765693,0.12608124506957874,1.1254997678716274,1.1969169403185593,-0.16475735041820638,-0.16662515190274718,0.004289958431921814,0.07141717244693191,-0.0018678014845407986
Q008-A-Q006-10,Method A,Q006,direct_q_diagnostic,0.1,0.12179128663765693,0.1235345048259393,1.1254997678716274,1.1753228357905305,-0.16475735041820638,-0.16287974080581336,0.0017432181882823805,0.04982306791890312,0.0018776096123930275
Q008-A-Q006-20,Method A,Q006,direct_q_diagnostic,0.2,0.12179128663765693,0.12517860044508944,1.1254997678716274,1.2192452448546405,-0.16475735041820638,-0.16098967190454339,0.0033873138074325126,0.09374547698301305,0.0037676785136629976
Q008-A-SCHD-10,Method A,SCHD,etf_proxy,0.1,0.12179128663765693,0.11978667218165406,1.1254997678716274,1.1324777620515674,-0.16475735041820638,-0.1625886559534766,-0.0020046144560028623,0.006977994179939939,0.0021686944647297812
Q008-A-SCHD-20,Method A,SCHD,etf_proxy,0.2,0.12179128663765693,0.11778683426793624,1.1254997678716274,1.135157579382213,-0.16475735041820638,-0.16041569636716568,-0.00400445236972069,0.009657811510585645,0.0043416540510407
Q008-B-COWZ-10,Method B,COWZ,etf_proxy,0.1,0.12179128663765693,0.11850047768528649,1.1254997678716274,1.1189393310436195,-0.16475735041820638,-0.1703890684587236,-0.0032908089523704387,-0.006560436828007887,-0.0056317180405172085
